
PET,Temperatura máximaC,Temperatura mediaC,Temperatura mínimaC,Punto de rocíoC,MeanDew PointC,Min DewpointC,Max Humedad, Mean Humedad, Min Humedad, Max Presión al nivel del marhPa, Mean Presión al nivel del marhPa, Min Presión al nivel del marhPa, Max VisibilidadKm, Mean VisibilidadKm, Min VisibilidadkM, Max Velocidad del vientoKm/h, Mean Velocidad del vientoKm/h, Max Velocidad de ráfagasKm/h,Precipitaciónmm, CloudCover, Eventos,WindDirDegrees<br />
2014-8-21,18,17,15,13,13,13,88,78,65,1018,1016,1014,10,10,9,19,16,,0.00,8,,163<br />
2014-8-22,19,17,15,13,13,12,82,74,58,1019,1016,1013,10,10,8,35,16,,0.00,8,,165<br />
2014-8-23,18,17,14,14,13,12,94,80,63,1017,1015,1013,10,10,8,26,16,,0.00,8,,183<br />
2014-8-24,19,18,16,14,13,12,82,77,65,1016,1015,1012,10,10,10,23,13,,0.00,8,,171<br />
2014-8-25,20,18,15,15,14,13,94,81,61,1015,1014,1011,10,10,10,21,14,,0.00,7,,206<br />
2014-8-26,19,17,15,14,14,13,88,80,66,1017,1015,1013,10,10,6,23,14,,0.00,8,,170<br />
2014-8-27,18,17,15,14,13,13,88,81,71,1017,1016,1014,10,9,6,19,14,,0.00,8,,175<br />
2014-8-28,19,17,15,14,13,13,88,82,68,1016,1015,1013,10,9,5,21,13,,0.00,7,Lluvia,173<br />
2014-8-29,19,17,15,14,13,13,94,82,66,1017,1015,1014,10,9,5,27,16,,0.00,7,,172<br />
2014-8-30,19,17,15,14,14,13,88,83,69,1018,1015,1013,10,9,5,23,16,,0.00,8,,172<br />
2014-8-31,18,17,15,15,14,14,100,85,73,1016,1014,1013,10,9,5,19,14,,0.00,8,,172<br />
2014-9-1,18,17,15,15,14,14,100,87,71,1016,1014,1011,10,9,5,21,14,,0.00,8,Lluvia,175<br />
2014-9-2,18,17,15,14,14,13,94,83,70,1017,1015,1013,10,9,6,19,11,,0.00,8,Lluvia,177<br />
2014-9-3,21,18,16,15,14,13,88,79,59,1017,1015,1012,10,9,7,19,13,,0.00,7,,176<br />
2014-9-4,19,17,15,14,14,14,88,81,64,1017,1015,1013,10,10,8,24,18,,0.00,8,Lluvia,167<br />
2014-9-5,18,17,16,15,14,14,88,84,71,1018,1015,1014,10,10,10,21,14,,0.00,8,,181<br />
2014-9-6,17,16,14,14,14,13,94,86,75,1016,1013,1011,10,9,5,14,10,,0.00,8,Lluvia,217<br />
2014-9-7,19,17,15,14,14,13,94,82,62,1015,1013,1011,10,10,9,19,8,,0.00,7,,257<br />
2014-9-8,18,17,15,15,14,13,100,85,70,1016,1014,1012,10,9,6,19,13,,0.00,8,Lluvia,171<br />
2014-9-9,18,17,15,14,14,13,94,84,65,1018,1015,1014,10,9,5,19,14,,0.00,8,,167<br />
2014-9-10,18,16,14,14,13,13,94,83,72,1016,1014,1012,10,10,8,16,10,,0.00,8,Lluvia,205<br />
2014-9-11,18,16,14,14,13,13,94,84,73,1015,1013,1010,10,10,8,16,11,,0.00,7,,223<br />
2014-9-12,24,19,15,15,14,13,94,77,61,1016,1015,1013,10,9,5,24,11,,0.00,5,,173<br />
2014-9-13,21,18,16,15,14,13,88,76,57,1016,1015,1013,10,10,10,35,21,,0.00,4,,160<br />
2014-9-14,19,17,15,15,14,14,100,88,70,1016,1014,1012,10,8,3,19,11,,0.00,7,,196<br />
2014-9-15,18,17,15,15,14,14,94,85,74,1017,1015,1014,10,10,8,19,11,,0.00,8,,208<br />
2014-9-16,19,17,15,15,14,14,100,85,73,1017,1016,1014,10,9,6,14,13,,0.00,8,Lluvia,183<br />
2014-9-17,19,17,15,14,14,14,94,85,72,1019,1017,1015,10,9,5,19,14,,0.00,8,Lluvia,174<br />
2014-9-18,18,17,15,15,14,14,94,86,76,1019,1017,1015,10,9,6,27,18,,0.00,8,Lluvia,163<br />
2014-9-19,18,17,15,14,14,14,94,85,74,1018,1016,1014,10,9,8,13,8,,0.00,8,,214<br />
2014-9-20,17,16,14,14,14,13,100,88,75,1016,1014,1012,10,8,5,11,8,,0.00,8,Lluvia,237<br />
2014-9-21,18,17,14,14,14,13,94,86,70,1017,1016,1014,10,9,6,16,8,,0.00,8,,247<br />
2014-9-22,18,17,15,14,14,13,94,83,72,1019,1017,1016,10,10,9,21,11,,0.00,8,,183<br />
2014-9-23,19,17,15,14,13,13,88,80,65,1019,1016,1013,10,10,7,35,16,,0.00,7,,170<br />
2014-9-24,18,16,14,14,13,13,94,82,66,1017,1016,1014,10,9,6,23,11,,0.00,8,,190<br />
2014-9-25,17,16,15,14,14,13,94,85,77,1017,1015,1013,10,10,5,24,14,,0.00,8,,172<br />
2014-9-26,18,16,14,14,14,13,94,84,69,1015,1014,1012,10,10,10,21,10,,0.00,8,,204<br />
2014-9-27,19,17,14,14,14,13,94,83,64,1016,1014,1012,10,10,10,16,11,,0.00,8,Lluvia,202<br />
2014-9-28,21,18,15,14,14,13,88,82,65,1016,1014,1013,10,10,10,16,13,,0.00,7,,185<br />
2014-9-29,19,18,16,15,14,14,88,83,67,1015,1013,1012,10,10,8,16,11,,0.00,7,,196<br />
2014-9-30,18,17,14,14,14,13,94,85,70,1014,1013,1012,10,9,4,14,8,,0.00,8,Lluvia,225<br />
2014-10-1,19,17,14,14,14,13,94,86,68,1016,1014,1012,10,9,3,14,10,,0.00,8,,227<br />
2014-10-2,19,17,15,15,14,13,94,84,65,1016,1014,1012,10,8,5,23,11,,0.00,7,,201<br />
2014-10-3,20,18,15,14,14,13,88,81,64,1017,1015,1013,10,9,5,21,13,,0.00,8,,192<br />
2014-10-4,19,18,16,15,14,13,88,83,70,1016,1014,1012,10,10,10,19,14,,0.00,8,,178<br />
2014-10-5,21,18,16,14,13,13,88,79,64,1015,1013,1012,10,10,10,24,16,,0.00,6,,180<br />
2014-10-6,18,17,14,14,14,13,94,85,71,1016,1014,1013,10,9,6,23,10,,0.00,8,,200<br />
2014-10-7,18,17,15,14,14,13,88,83,74,1017,1015,1013,10,10,10,19,11,,0.00,8,,196<br />
2014-10-8,18,17,16,14,14,13,88,83,71,1016,1015,1013,10,10,10,23,11,,0.00,8,,195<br />
2014-10-9,20,18,16,14,14,14,89,82,65,1015,1014,1012,10,10,7,16,10,,0.00,7,,191<br />
2014-10-10,21,18,16,15,14,14,88,81,61,1017,1015,1013,10,10,9,23,13,,0.00,7,,173<br />
2014-10-11,21,19,16,15,15,14,94,81,62,1016,1014,1012,10,10,10,27,16,,0.00,7,,168<br />
2014-10-12,19,18,16,16,15,15,94,86,74,1016,1014,1012,10,10,8,23,13,,0.00,7,Lluvia,189<br />
2014-10-13,20,18,16,16,15,14,94,85,66,1015,1013,1012,10,9,3,40,16,,0.00,8,Lluvia,188<br />
2014-10-14,20,18,16,16,15,14,100,83,67,1016,1014,1013,10,10,8,21,13,,0.00,7,Lluvia,180<br />
2014-10-15,20,18,16,16,15,15,94,85,68,1016,1014,1013,10,9,5,19,14,,0.00,8,Lluvia,179<br />
2014-10-16,22,19,16,16,15,14,94,82,62,1017,1015,1013,10,9,6,21,13,,0.00,6,Lluvia,194<br />
2014-10-17,22,19,17,15,15,14,88,78,59,1018,1016,1013,10,9,6,26,16,,0.00,7,,173<br />
2014-10-18,21,19,16,15,15,14,88,82,63,1017,1015,1013,10,10,8,24,16,,0.00,7,,180<br />
2014-10-19,21,18,16,15,15,13,95,85,61,1017,1015,1014,10,8,2,23,11,,0.00,7,Lluvia,208<br />
2014-10-20,22,19,16,16,14,14,94,76,58,1016,1014,1012,10,10,10,16,14,,0.00,6,,175<br />
2014-10-21,20,18,17,16,16,15,88,83,72,1016,1014,1012,10,10,10,23,16,,0.00,8,,185<br />
2014-10-22,20,18,16,16,15,14,94,83,70,1016,1014,1012,10,10,10,24,13,,0.00,8,,195<br />
2014-10-23,20,18,17,15,15,14,88,79,66,1016,1014,1013,10,10,6,23,16,,0.00,8,,190<br />
2014-10-24,21,19,16,15,15,14,88,79,61,1016,1014,1012,10,9,6,19,16,,0.00,8,Lluvia,172<br />
2014-10-25,22,19,17,15,14,14,88,77,59,1018,1016,1014,10,10,10,24,10,,0.00,8,Lluvia,181<br />
2014-10-26,22,19,16,15,14,13,88,75,56,1017,1014,1013,10,10,10,24,19,,0.00,6,,167<br />
2014-10-27,21,19,17,16,15,15,88,79,64,1016,1015,1013,10,10,10,19,14,,0.00,7,,170<br />
2014-10-28,22,20,17,16,16,15,83,78,58,1017,1015,1013,10,10,10,23,16,,0.00,7,,172<br />
2014-10-29,22,19,17,16,15,15,88,78,66,1016,1014,1012,10,10,10,16,13,,0.00,7,,199<br />
2014-10-30,21,19,17,16,15,14,88,80,65,1015,1012,1011,10,10,8,14,10,,0.00,8,,233<br />
2014-10-31,20,18,16,16,15,14,94,81,68,1016,1014,1013,10,9,6,11,8,,0.00,8,Lluvia,237<br />
2014-11-1,21,19,17,16,16,15,88,82,67,1016,1015,1013,10,10,10,21,14,,0.00,8,,167<br />
2014-11-2,23,20,17,16,16,15,88,78,57,1017,1015,1013,10,10,10,19,13,,0.00,6,,181<br />
2014-11-3,22,19,16,16,15,14,88,79,61,1015,1014,1012,10,10,10,21,13,,0.00,6,,175<br />
2014-11-4,21,19,17,15,14,14,88,77,64,1015,1013,1011,10,10,10,14,11,,0.00,7,,223<br />
2014-11-5,20,18,17,15,14,14,88,79,63,1016,1014,1012,10,9,6,23,11,,0.00,8,,182<br />
2014-11-6,22,19,17,16,14,14,88,78,64,1016,1015,1013,10,10,10,21,13,,0.00,7,,266<br />
2014-11-7,23,19,16,16,16,14,94,80,61,1016,1014,1012,10,9,6,23,8,,0.00,5,,197<br />
2014-11-8,23,19,16,16,16,14,94,80,59,1014,1013,1011,10,9,5,16,11,,0.00,5,,209<br />
2014-11-9,22,19,17,16,16,14,88,78,62,1016,1014,1012,10,10,10,19,11,,0.00,6,,238<br />
2014-11-10,21,19,17,16,16,15,88,80,68,1015,1013,1012,10,10,8,19,10,,0.00,6,,238<br />
2014-11-11,22,20,17,17,16,15,88,81,64,1016,1014,1013,10,10,8,23,11,,0.00,7,,213<br />
2014-11-12,22,20,18,17,16,16,88,79,64,1016,1015,1013,10,10,10,23,13,,0.00,5,,179<br />
2014-11-13,23,20,17,17,16,15,88,79,61,1017,1015,1013,10,10,10,24,13,,0.00,6,,191<br />
2014-11-14,21,19,17,16,16,16,88,83,65,1017,1016,1014,10,10,7,16,11,,0.00,8,,178<br />
2014-11-15,22,20,17,17,16,16,89,80,60,1018,1016,1014,10,10,8,27,16,,0.00,7,,167<br />
2014-11-16,23,20,17,17,16,16,94,80,59,1015,1014,1012,10,10,7,29,21,,0.00,5,,173<br />
2014-11-17,22,20,18,17,16,16,88,78,60,1016,1014,1012,10,10,10,23,16,,0.00,8,,174<br />
2014-11-18,22,20,18,17,17,16,94,83,68,1016,1015,1013,10,10,10,24,16,,0.00,8,,167<br />
2014-11-19,22,20,18,18,17,16,94,83,70,1017,1016,1014,10,9,5,23,14,,0.00,8,Lluvia,181<br />
2014-11-20,23,21,18,18,17,17,94,82,70,1016,1014,1013,10,10,10,24,16,,0.00,7,,179<br />
2014-11-21,21,20,18,17,17,16,88,82,69,1016,1014,1012,10,10,10,19,13,,0.00,8,,191<br />
2014-11-22,24,21,19,17,16,16,88,75,53,1016,1014,1013,10,10,10,16,13,,0.00,6,,177<br />
2014-11-23,21,19,17,17,16,15,88,81,70,1015,1013,1011,10,9,6,24,11,,0.00,7,,196<br />
2014-11-24,22,20,18,17,17,16,94,81,65,1015,1013,1012,10,10,8,24,14,,0.00,8,Lluvia,170<br />
2014-11-25,22,20,18,17,16,15,83,76,57,1017,1015,1013,10,10,10,24,16,,0.00,8,,166<br />
2014-11-26,24,21,18,17,16,15,88,76,54,1016,1014,1013,10,10,10,24,16,,0.00,6,,176<br />
2014-11-27,24,21,18,17,16,16,88,76,56,1016,1014,1012,10,10,10,24,13,,0.00,6,,173<br />
2014-11-28,22,20,17,17,16,16,88,80,66,1013,1011,1009,10,9,6,24,16,,0.00,6,,187<br />
2014-11-29,23,20,18,17,16,16,94,77,57,1014,1012,1011,10,10,8,27,11,,0.00,8,,185<br />
2014-11-30,22,20,18,17,17,15,94,79,63,1014,1012,1010,10,10,10,23,13,,0.00,8,,188<br />
2014-12-1,24,21,18,17,16,16,88,76,55,1014,1012,1010,10,10,10,21,11,,0.00,6,,185<br />
2014-12-2,23,19,16,17,16,15,94,81,63,1012,1010,1008,10,10,10,26,11,,0.00,3,,194<br />
2014-12-3,22,19,16,17,16,16,94,81,65,1013,1010,1008,10,10,8,130,13,,0.00,5,,207<br />
2014-12-4,24,21,18,17,16,15,88,76,53,1014,1012,1011,10,10,10,23,16,,0.00,4,,170<br />
2014-12-5,24,21,18,18,17,16,88,79,60,1016,1014,1012,10,10,10,24,14,,0.00,6,,183<br />
2014-12-6,24,22,19,18,17,17,88,80,61,1016,1014,1011,10,10,10,29,14,,0.00,6,,177<br />
2014-12-7,23,20,18,18,17,16,94,81,65,1014,1012,1011,10,9,6,23,16,,0.00,7,,197<br />
2014-12-8,24,21,18,17,17,15,88,77,53,1013,1012,1011,10,10,8,21,14,,0.00,7,,173<br />
2014-12-9,26,22,18,17,16,15,88,71,49,1015,1013,1012,10,10,10,21,14,,0.00,6,,170<br />
2014-12-10,25,22,19,17,16,14,88,68,49,1015,1014,1013,14,10,10,26,19,,0.00,5,,163<br />
2014-12-11,24,21,18,18,18,17,88,79,61,1015,1014,1012,10,10,10,24,16,,0.00,4,,175<br />
2014-12-12,23,21,19,18,18,18,94,84,73,1017,1015,1013,10,10,8,23,14,,0.00,7,,179<br />
2014-12-13,22,21,19,18,18,17,88,82,72,1016,1014,1012,10,10,10,19,14,,0.00,8,,181<br />
2014-12-14,23,20,18,17,17,16,94,78,57,1016,1014,1012,10,10,7,32,16,,0.00,7,,162<br />
2014-12-15,24,21,18,17,17,16,88,76,56,1016,1014,1012,10,10,10,26,19,,0.00,5,,166<br />
2014-12-16,23,21,18,18,17,17,88,81,68,1019,1016,1013,10,10,10,19,14,,0.00,8,,178<br />
2014-12-17,23,21,19,18,17,17,88,79,61,1018,1016,1014,10,10,10,16,13,,0.00,8,,174<br />
2014-12-18,23,21,19,18,17,17,88,82,65,1016,1015,1013,10,10,10,19,16,,0.00,8,,168<br />
2014-12-19,23,21,19,17,17,16,88,77,57,1015,1013,1011,10,10,10,24,16,,0.00,8,,167<br />
2014-12-20,26,22,19,18,17,16,88,77,52,1015,1013,1011,10,10,10,24,14,,0.00,6,,173<br />
2014-12-21,24,21,18,17,17,16,88,79,62,1015,1014,1012,10,10,10,16,13,,0.00,7,,176<br />
2014-12-22,24,21,18,18,17,16,94,78,57,1015,1013,1011,10,10,10,24,13,,0.00,6,,177<br />
2014-12-23,23,21,19,17,17,17,88,80,61,1014,1012,1010,10,10,8,29,14,,0.00,7,,187<br />
2014-12-24,23,21,19,17,17,17,88,81,66,1013,1011,1010,10,10,10,27,18,,0.00,7,,169<br />
2014-12-25,23,21,19,17,17,16,88,78,61,1014,1012,1011,10,10,10,24,14,,0.00,7,,179<br />
2014-12-26,24,21,18,18,17,17,88,78,59,1013,1012,1010,10,10,10,27,14,,0.00,6,,170<br />
2014-12-27,24,21,18,18,17,17,94,80,65,1014,1012,1009,10,10,10,23,14,,0.00,6,,176<br />
2014-12-28,24,22,20,18,17,16,88,75,58,1015,1013,1012,10,10,10,24,13,,0.00,8,,169<br />
2014-12-29,25,21,18,18,18,17,94,79,65,1016,1015,1013,10,10,10,23,13,,0.00,4,,174<br />
2014-12-30,23,21,19,19,18,17,88,78,67,1014,1013,1012,10,10,10,26,18,,0.00,7,,167<br />
2014-12-31,25,22,20,19,18,17,83,77,63,1013,1012,1010,10,10,10,26,19,,0.00,7,,168<br />
