
ART,Temperatura máximaC,Temperatura mediaC,Temperatura mínimaC,Punto de rocíoC,MeanDew PointC,Min DewpointC,Max Humedad, Mean Humedad, Min Humedad, Max Presión al nivel del marhPa, Mean Presión al nivel del marhPa, Min Presión al nivel del marhPa, Max VisibilidadKm, Mean VisibilidadKm, Min VisibilidadkM, Max Velocidad del vientoKm/h, Mean Velocidad del vientoKm/h, Max Velocidad de ráfagasKm/h,Precipitaciónmm, CloudCover, Eventos,WindDirDegrees<br />
2014-8-13,17,11,6,-4,-7,-12,46,27,9,1030,1028,1026,10,10,10,32,16,47,0.00,,,284<br />
2014-8-14,16,11,7,9,3,-6,72,51,21,1027,1024,1013,10,10,10,26,18,,0.00,,,343<br />
2014-8-15,16,12,9,10,5,2,88,59,39,1026,1024,1022,10,10,10,26,19,,0.00,,,34<br />
2014-8-16,17,14,11,11,9,8,82,71,61,1025,1023,1022,10,9,8,21,14,,0.00,,,47<br />
2014-8-17,20,16,11,14,12,10,100,80,60,1025,1023,1021,10,8,3,13,6,,0.00,,Niebla,17<br />
2014-8-18,22,18,13,16,14,11,94,77,56,1021,1019,1016,10,10,10,16,11,,0.00,,,343<br />
2014-8-19,22,18,14,15,13,12,88,76,54,1020,1018,1016,10,10,10,23,11,,0.00,,,22<br />
2014-8-20,23,19,15,16,15,14,94,80,59,1019,1016,1013,10,9,8,14,8,,0.00,,Niebla,54<br />
2014-8-21,25,21,17,17,16,15,88,76,53,1015,1012,1010,10,10,10,13,5,,0.00,1,,7<br />
2014-8-22,23,20,18,17,16,14,88,75,52,1014,1012,1010,10,9,6,27,14,42,0.00,1,,117<br />
2014-8-23,26,22,18,21,16,14,83,71,52,1011,1003,997,10,10,9,27,14,,0.00,3,Lluvia,87<br />
2014-8-24,15,13,12,17,12,4,100,82,52,1006,1002,999,10,8,0,39,21,63,11.94,4,Lluvia-Granizo-Tormenta,247<br />
2014-8-25,11,9,7,7,4,1,87,68,47,1007,1005,1001,10,9,1,48,32,80,4.06,7,Lluvia,275<br />
2014-8-26,11,9,8,6,3,1,82,61,44,1021,1015,1008,10,10,9,40,32,80,0.00,6,Lluvia,233<br />
2014-8-27,11,9,6,4,2,-1,71,61,45,1023,1022,1020,10,10,10,21,14,,0.00,3,,166<br />
2014-8-28,12,9,7,8,5,3,82,70,50,1025,1023,1021,10,10,10,19,11,,0.00,5,,107<br />
2014-8-29,16,13,9,11,7,3,88,67,31,1022,1020,1018,10,10,10,23,13,,0.00,,,52<br />
2014-8-30,19,16,12,13,11,9,88,76,59,1019,1015,1011,10,9,5,26,11,,2.03,8,Lluvia-Tormenta,89<br />
2014-8-31,23,18,13,13,10,5,94,65,21,1015,1013,1011,10,7,1,24,11,,0.00,6,Niebla-Tormenta,222<br />
2014-9-1,15,8,1,13,12,11,94,86,76,1015,1013,1011,10,9,5,29,16,,0.00,7,Niebla,109<br />
2014-9-2,17,16,13,14,13,12,94,85,67,1015,1012,1010,10,9,3,42,23,76,10.92,5,Lluvia-Tormenta,116<br />
2014-9-3,18,16,13,15,14,12,94,86,76,1020,1017,1015,10,10,8,29,14,,0.00,6,Lluvia,97<br />
2014-9-4,18,17,15,14,13,9,88,75,58,1022,1020,1017,10,10,10,27,21,52,0.25,5,,92<br />
2014-9-5,18,17,16,17,15,12,94,89,77,1018,1013,1007,10,8,2,23,13,,7.87,8,Lluvia-Tormenta,91<br />
2014-9-6,19,17,14,17,13,4,94,77,31,1015,1009,1005,10,6,1,39,18,61,32.00,7,Lluvia-Tormenta,223<br />
2014-9-7,21,17,12,12,8,6,68,55,34,1020,1017,1015,10,10,10,21,14,,0.00,,,332<br />
2014-9-8,21,17,13,18,14,9,88,74,57,1017,1013,1007,10,10,10,16,11,,0.00,,,17<br />
2014-9-9,17,14,12,20,13,2,94,75,33,1010,1005,1000,10,7,0,50,19,71,46.99,6,Lluvia-Tormenta,232<br />
2014-9-10,19,14,10,6,1,-1,58,39,17,1020,1015,1010,10,10,10,35,21,40,0.00,3,,218<br />
2014-9-11,21,16,11,6,3,-1,62,41,17,1022,1020,1019,10,10,10,19,10,,0.00,,,272<br />
2014-9-12,18,16,13,11,7,4,72,54,35,1021,1018,1015,10,10,10,21,14,,0.00,3,,44<br />
2014-9-13,17,16,13,15,13,9,94,80,59,1020,1018,1017,10,9,3,34,18,52,16.00,6,Lluvia,106<br />
2014-9-14,17,16,14,16,14,11,94,91,82,1018,1015,1012,10,6,2,39,24,39,14.99,7,Lluvia-Tormenta,157<br />
2014-9-15,20,17,13,12,7,1,82,54,19,1019,1017,1015,10,9,6,24,19,,0.00,8,Lluvia,196<br />
2014-9-16,17,13,10,11,8,5,77,62,38,1020,1019,1017,10,10,10,13,6,,0.00,,,98<br />
2014-9-17,18,17,14,13,10,8,82,65,44,1021,1019,1017,10,10,10,23,14,,0.00,1,,64<br />
2014-9-18,18,16,14,14,13,12,88,77,60,1018,1016,1013,10,10,10,26,14,,0.00,4,,80<br />
2014-9-19,23,19,15,15,14,11,88,70,43,1014,1013,1011,10,9,5,19,11,,0.00,5,,196<br />
2014-9-20,22,19,13,12,8,4,67,48,23,1022,1017,1014,10,10,10,34,19,40,0.00,1,,209<br />
2014-9-21,18,15,12,14,10,6,82,71,50,1023,1021,1019,10,10,10,24,18,,0.00,4,,122<br />
2014-9-22,22,18,14,14,12,10,82,67,47,1019,1015,1011,10,10,10,34,26,47,0.00,1,,25<br />
2014-9-23,18,16,13,14,11,7,94,72,48,1015,1013,1010,10,9,3,42,16,,5.08,6,Lluvia,175<br />
2014-9-24,20,16,11,11,9,6,88,63,40,1017,1016,1014,10,10,10,23,14,,0.00,1,,304<br />
2014-9-25,21,18,16,17,13,8,94,74,50,1013,1009,1004,10,7,0,39,23,72,34.04,6,Lluvia-Tormenta,1<br />
2014-9-26,19,14,9,11,4,-4,88,51,12,1021,1018,1013,10,10,10,32,18,,0.00,3,,207<br />
2014-9-27,18,14,11,11,4,-1,82,45,21,1022,1020,1017,10,10,10,26,11,,0.00,,,66<br />
2014-9-28,19,18,16,16,13,8,88,75,43,1017,1011,1008,10,8,3,24,16,,3.05,7,Lluvia-Tormenta,59<br />
2014-9-29,18,16,13,15,13,12,100,80,61,1016,1014,1012,10,9,5,23,11,,0.00,5,,139<br />
2014-9-30,22,19,16,13,11,7,77,59,38,1019,1016,1015,10,10,10,29,18,37,0.00,,,109<br />
2014-10-1,15,13,12,15,11,5,94,76,56,1029,1024,1019,10,9,7,35,18,53,0.00,5,,141<br />
2014-10-2,16,12,9,12,7,4,82,67,47,1031,1029,1028,10,10,10,47,26,61,0.00,4,,120<br />
2014-10-3,17,16,14,13,10,8,82,69,55,1029,1027,1025,10,10,7,27,23,52,0.00,7,Lluvia-Tormenta,88<br />
2014-10-4,19,17,14,15,13,11,88,76,57,1023,1018,1013,10,9,5,34,21,53,3.05,6,Lluvia-Tormenta,82<br />
2014-10-5,17,17,16,17,15,13,96,87,64,1017,1014,1012,10,6,0,39,23,61,26.92,8,Lluvia-Tormenta,44<br />
2014-10-6,20,17,14,16,13,11,94,75,47,1015,1014,1013,10,9,3,24,13,39,0.00,4,Lluvia,293<br />
2014-10-7,24,19,14,18,15,13,88,74,53,1016,1014,1013,10,9,8,16,10,,0.00,1,,15<br />
2014-10-8,24,16,7,19,17,7,88,79,34,1014,1010,1004,10,10,10,13,8,,30.99,5,Tormenta,58<br />
2014-10-9,21,18,15,20,18,10,94,87,66,1011,1004,1002,10,8,1,37,14,60,6.10,6,Lluvia-Tormenta,185<br />
2014-10-10,17,13,9,8,5,2,71,55,31,1022,1018,1012,10,10,10,39,29,58,0.00,3,,182<br />
2014-10-11,17,14,12,12,8,4,77,62,41,1023,1021,1019,10,10,8,21,16,,0.00,3,Lluvia,105<br />
2014-10-12,20,18,15,15,13,11,82,71,47,1019,1017,1016,10,10,10,16,13,,0.00,3,,96<br />
2014-10-13,22,19,15,16,14,11,83,71,53,1017,1016,1015,10,10,10,14,8,,0.00,6,,355<br />
2014-10-14,23,19,16,16,14,11,83,64,44,1019,1016,1015,10,10,10,19,13,,0.00,,,15<br />
2014-10-15,24,21,19,18,16,13,78,66,54,1016,1012,1006,10,10,10,26,19,,0.00,8,,55<br />
2014-10-16,28,24,22,20,16,9,78,60,23,1012,1008,1003,10,10,9,34,14,55,0.00,4,Lluvia,136<br />
2014-10-17,23,21,19,16,13,10,78,57,40,1013,1011,1007,10,10,10,35,19,53,0.00,2,Lluvia,125<br />
2014-10-18,24,22,20,18,17,7,88,73,40,1011,1008,1006,10,9,6,37,21,42,0.00,7,Lluvia,106<br />
2014-10-19,26,21,17,17,8,2,83,44,14,1019,1015,1011,10,10,10,27,14,47,0.00,,,186<br />
2014-10-20,21,17,13,14,9,6,77,56,31,1022,1021,1019,10,10,10,24,14,,0.00,2,,107<br />
2014-10-21,26,22,18,18,14,9,73,58,43,1021,1018,1016,10,10,10,26,18,,0.00,,,8<br />
2014-10-22,28,23,19,19,17,15,78,62,43,1019,1016,1015,10,10,10,23,16,,0.00,,,180<br />
2014-10-23,27,24,21,21,17,14,88,65,51,1017,1015,1013,10,10,10,23,13,,0.00,1,,49<br />
2014-10-24,28,24,21,21,19,17,94,75,42,1016,1015,1013,10,8,3,23,16,,0.00,4,,107<br />
2014-10-25,27,24,22,21,19,16,83,71,50,1015,1013,1011,10,10,10,24,11,,0.00,3,,53<br />
2014-10-26,29,26,22,22,20,18,83,71,50,1012,1010,1008,10,10,10,21,16,,0.00,,,30<br />
2014-10-27,33,27,21,23,19,15,78,64,46,1011,1008,1004,10,9,3,50,26,74,0.00,5,,5<br />
2014-10-28,25,21,18,20,17,12,94,76,55,1013,1009,1004,10,8,1,45,29,64,16.00,5,Lluvia-Tormenta,127<br />
2014-10-29,21,19,17,19,17,13,100,88,73,1008,1004,1001,10,6,1,61,32,87,12.95,8,Lluvia-Tormenta,104<br />
2014-10-30,24,19,15,15,13,11,88,64,43,1012,1010,1007,10,10,10,14,11,,0.00,4,,103<br />
2014-10-31,22,19,16,17,13,9,88,66,40,1019,1014,1011,10,9,3,42,14,61,6.10,5,Lluvia-Tormenta,124<br />
2014-11-1,17,14,11,7,5,2,76,52,25,1027,1024,1019,10,9,6,48,40,74,5.08,6,Lluvia,140<br />
2014-11-2,16,13,11,15,12,8,100,82,63,1027,1022,1017,10,6,1,55,42,77,26.92,6,Lluvia,118<br />
2014-11-3,19,17,15,18,15,9,100,91,66,1016,1009,1005,10,5,1,45,31,77,33.02,7,Lluvia-Granizo-Tormenta,121<br />
2014-11-4,22,17,11,9,7,4,72,51,23,1017,1013,1009,10,10,10,27,21,45,0.00,1,,257<br />
2014-11-5,22,18,13,16,11,7,82,59,42,1020,1017,1015,10,10,10,23,10,,0.00,,,8<br />
2014-11-6,22,19,17,16,13,12,83,66,47,1018,1015,1012,10,10,10,29,21,48,0.00,,,68<br />
2014-11-7,27,22,17,18,16,12,88,67,40,1013,1011,1009,10,10,9,27,10,48,0.00,1,Niebla,57<br />
2014-11-8,29,23,17,17,12,5,88,51,16,1014,1012,1011,10,10,10,24,16,,0.00,1,,215<br />
2014-11-9,24,21,18,17,14,11,78,62,37,1015,1013,1010,10,10,10,34,19,,0.00,1,,81<br />
2014-11-10,27,24,21,19,17,15,83,64,39,1012,1011,1009,10,9,4,23,11,,0.51,8,Lluvia-Tormenta,58<br />
2014-11-11,26,22,19,21,19,18,94,76,64,1011,1009,1007,10,10,10,16,10,,0.00,4,,26<br />
2014-11-12,24,21,18,20,11,1,83,51,17,1019,1012,1008,10,10,8,37,18,55,0.00,3,,170<br />
2014-11-13,21,16,12,11,5,-3,64,43,20,1022,1019,1017,10,10,10,29,18,,0.00,,,99<br />
2014-11-14,26,20,14,13,11,8,72,49,25,1018,1015,1012,10,10,9,24,18,,0.00,,,345<br />
2014-11-15,32,26,19,18,12,7,60,43,28,1015,1014,1012,10,10,10,27,19,,0.00,,,328<br />
2014-11-16,25,22,20,16,14,10,73,55,31,1020,1019,1015,10,10,10,34,19,,0.00,,,123<br />
2014-11-17,28,24,20,18,15,12,68,55,30,1019,1016,1012,10,10,10,29,21,42,0.00,,,56<br />
2014-11-18,31,26,21,22,19,15,78,64,47,1012,1008,1004,10,10,10,32,23,,0.00,4,,40<br />
2014-11-19,23,20,18,20,17,14,94,73,54,1012,1008,1004,10,8,2,37,18,60,13.97,6,Lluvia-Tormenta,178<br />
2014-11-20,24,21,17,17,16,13,83,67,44,1016,1014,1011,10,10,10,27,8,,0.00,6,,16<br />
2014-11-21,21,18,15,17,13,1,94,72,28,1017,1014,1011,10,7,1,37,27,52,13.97,7,Lluvia,135<br />
2014-11-22,24,19,13,13,11,6,94,63,20,1014,1012,1010,10,9,4,24,18,,0.51,4,Lluvia,231<br />
2014-11-23,27,22,17,17,14,11,68,55,38,1013,1010,1006,10,10,10,39,19,,0.00,,,342<br />
2014-11-24,25,22,20,18,16,10,73,64,45,1013,1008,1004,10,10,7,34,19,,0.00,5,Lluvia-Granizo-Tormenta,314<br />
2014-11-25,22,19,16,11,9,6,60,48,33,1016,1014,1012,10,10,10,29,23,,0.00,2,,126<br />
2014-11-26,23,20,17,15,13,9,77,60,46,1016,1014,1013,10,10,10,21,13,29,0.00,4,,63<br />
2014-11-27,25,21,17,16,14,12,77,61,33,1017,1016,1014,10,10,10,13,8,,0.00,,,87<br />
2014-11-28,28,25,22,15,13,10,64,47,25,1018,1014,1011,10,10,10,34,19,48,0.00,,,15<br />
2014-11-29,29,24,20,21,18,13,94,66,43,1011,1005,1000,10,8,1,55,26,89,8.89,7,Lluvia-Tormenta,50<br />
2014-11-30,16,16,15,21,16,9,100,85,46,1016,1009,1004,10,6,2,45,24,74,25.91,7,Lluvia,171<br />
2014-12-1,22,17,13,13,12,10,88,69,50,1017,1016,1015,10,10,8,34,27,47,0.00,6,,159<br />
2014-12-2,23,19,15,13,11,7,77,56,27,1016,1013,1010,10,10,10,23,16,,0.00,4,,193<br />
2014-12-3,30,23,17,18,13,10,78,56,28,1013,1011,1009,10,10,10,26,11,,0.00,,,280<br />
2014-12-4,30,24,19,20,17,13,73,62,40,1018,1015,1013,10,10,10,19,10,,0.00,,,33<br />
2014-12-5,29,25,21,21,18,15,73,60,38,1017,1014,1011,10,10,10,27,19,42,0.00,,,34<br />
2014-12-6,31,27,22,23,19,17,74,63,47,1012,1009,1006,10,10,10,29,19,,0.00,1,,46<br />
2014-12-7,23,21,19,23,19,16,94,80,57,1014,1009,1005,10,9,1,37,18,60,18.03,5,Lluvia,324<br />
2014-12-8,24,22,19,21,19,17,88,79,69,1013,1011,1009,10,10,10,14,10,,0.00,6,,353<br />
2014-12-9,28,24,22,24,22,20,94,84,73,1010,1005,1000,10,9,1,66,11,116,18.03,5,Lluvia-Tormenta,70<br />
2014-12-10,25,21,18,19,15,8,88,65,33,1019,1010,1002,10,10,9,35,21,55,0.00,6,Lluvia-Tormenta,159<br />
2014-12-11,22,18,15,14,11,8,68,58,43,1021,1019,1016,10,10,10,37,23,,0.00,2,,116<br />
2014-12-12,26,22,19,19,15,12,73,62,44,1019,1013,1010,10,10,10,23,13,,0.00,3,,66<br />
2014-12-13,31,24,18,21,17,14,83,68,31,1017,1013,1010,10,7,1,53,16,76,11.94,6,Lluvia-Tormenta,118<br />
2014-12-14,23,19,14,17,13,8,85,60,32,1019,1017,1016,10,9,2,37,24,50,0.00,2,,129<br />
2014-12-15,25,22,18,19,14,9,78,58,39,1018,1016,1014,10,10,10,32,21,40,0.00,,,68<br />
2014-12-16,25,23,21,20,17,15,78,69,58,1016,1014,1012,10,10,10,23,13,,0.00,7,,46<br />
2014-12-17,32,27,21,21,17,14,83,58,32,1014,1012,1009,10,9,5,40,13,60,0.00,2,Lluvia-Tormenta,192<br />
2014-12-18,30,25,20,20,19,17,83,67,47,1013,1010,1007,10,10,10,23,10,,0.00,2,,34<br />
2014-12-19,32,27,23,24,18,12,74,54,24,1008,1004,1000,10,10,10,29,19,40,0.00,1,,328<br />
2014-12-20,24,22,20,20,18,16,88,72,49,1005,1002,998,10,9,3,40,24,64,5.08,6,Lluvia-Tormenta,149<br />
2014-12-21,24,20,15,17,12,5,88,61,21,1011,1007,1003,10,10,8,42,27,64,3.05,6,Lluvia,175<br />
2014-12-22,23,19,14,15,11,8,94,58,30,1022,1017,1012,10,10,10,26,19,42,0.00,2,,203<br />
2014-12-23,24,19,14,13,11,8,72,50,35,1024,1021,1017,10,9,6,26,13,,0.00,1,,345<br />
2014-12-24,27,22,18,18,14,9,68,53,34,1017,1015,1012,10,10,10,34,24,,0.00,,,1<br />
2014-12-25,29,26,22,22,19,17,78,67,50,1014,1012,1010,10,10,10,26,19,,0.00,2,,42<br />
2014-12-26,27,25,23,24,21,14,89,78,57,1014,1012,1009,10,9,6,34,10,53,2.03,6,Lluvia-Tormenta,59<br />
2014-12-27,29,26,22,23,21,19,88,77,61,1012,1010,1009,10,10,10,14,10,,0.00,4,,77<br />
2014-12-28,28,26,23,22,21,19,89,73,53,1011,1009,1007,10,10,10,16,10,,0.00,2,,103<br />
2014-12-29,31,28,24,24,22,20,89,72,46,1009,1007,1004,10,10,5,24,10,,27.94,2,Lluvia-Tormenta,37<br />
2014-12-30,29,24,20,22,19,17,94,66,48,1010,1005,1003,10,8,1,39,18,61,0.00,3,Lluvia-Tormenta,21<br />
2014-12-31,28,23,18,22,19,16,88,75,64,1007,1003,1001,10,9,2,40,13,72,13.97,7,Lluvia-Tormenta,307<br />
