
VET,Temperatura máximaC,Temperatura mediaC,Temperatura mínimaC,Punto de rocíoC,MeanDew PointC,Min DewpointC,Max Humedad, Mean Humedad, Min Humedad, Max Presión al nivel del marhPa, Mean Presión al nivel del marhPa, Min Presión al nivel del marhPa, Max VisibilidadKm, Mean VisibilidadKm, Min VisibilidadkM, Max Velocidad del vientoKm/h, Mean Velocidad del vientoKm/h, Max Velocidad de ráfagasKm/h,Precipitaciónmm, CloudCover, Eventos,WindDirDegrees<br />
2014-9-8,32,27,23,22,19,15,94,59,36,1016,1014,1012,,,,,,,0.00,5,,-1<br />
2014-9-9,32,26,20,22,21,19,100,69,46,1016,1013,1009,19,14,10,,,,0.00,5,,-1<br />
2014-9-10,32,25,19,23,22,19,94,76,59,1014,1013,1011,19,19,19,,,,0.00,4,,-1<br />
2014-9-12,32,28,23,21,19,18,88,57,43,1014,1012,1010,,,,,,,0.00,6,,-1<br />
2014-9-13,30,24,18,22,20,18,100,74,55,1015,1013,1010,10,10,10,,,,0.00,4,,-1<br />
2014-9-14,32,26,20,22,20,19,100,68,46,1016,1013,1010,19,16,10,,,,0.00,4,,-1<br />
2014-9-15,30,26,21,21,20,19,88,73,51,1017,1014,1012,19,16,10,,,,0.00,5,Lluvia,-1<br />
2014-9-16,31,26,20,23,21,19,94,72,40,1017,1014,1010,19,16,10,,,,0.00,5,,-1<br />
2014-9-17,32,27,22,23,21,20,88,66,42,1015,1013,1010,19,16,10,,,,0.00,6,,-1<br />
2014-9-18,32,27,21,22,21,19,94,65,49,1015,1013,1010,19,14,10,,,,6.10,6,Lluvia-Tormenta,-1<br />
2014-9-19,32,26,20,22,21,20,100,69,46,1016,1013,1010,19,19,19,,,,0.00,5,,-1<br />
2014-9-20,30,26,21,22,21,18,100,66,37,1016,1013,1010,19,16,10,,,,0.00,5,,-1<br />
2014-9-21,25,,25,21,21,21,78,78,78,1016,1016,1016,,,,,,,0.00,3,,-1<br />
2014-9-22,30,26,22,21,20,19,94,65,44,1015,1012,1009,19,14,10,,,,0.00,5,Tormenta,-1<br />
2014-9-23,28,24,20,21,21,20,100,77,62,1015,1012,1009,19,19,19,,,,0.00,7,Lluvia-Tormenta,-1<br />
2014-9-24,30,24,19,24,22,20,100,81,66,1016,1014,1011,19,16,10,,,,0.00,5,Lluvia,-1<br />
2014-9-25,32,27,21,23,21,19,94,70,46,1015,1012,1010,19,14,10,,,,0.00,3,,-1<br />
2014-9-26,31,26,22,21,17,14,88,53,35,1013,1011,1009,,,,,,,0.00,5,,-1<br />
2014-9-27,31,26,21,23,21,19,100,65,49,1016,1014,1012,,,,,,,0.00,5,,-1<br />
2014-9-28,32,26,20,23,21,19,94,70,43,1016,1014,1011,19,14,10,,,,0.00,3,,-1<br />
2014-9-29,31,26,19,23,20,16,100,70,40,1016,1014,1011,19,16,10,,,,0.00,5,,-1<br />
2014-9-30,32,27,22,23,22,20,94,72,44,1016,1014,1011,19,19,19,,,,0.00,5,,-1<br />
2014-10-1,32,27,21,23,21,19,94,70,46,1016,1013,1010,19,14,10,,,,5.08,5,Lluvia-Tormenta,-1<br />
2014-10-2,28,24,21,22,21,18,94,75,55,1017,1014,1011,11,10,10,,,,19.05,5,Lluvia-Tormenta,-1<br />
2014-10-3,31,24,18,23,20,18,94,71,46,1017,1014,1012,19,15,10,,,,0.00,4,,-1<br />
2014-10-4,29,24,21,22,21,18,94,80,51,1015,1013,1010,19,14,10,,,,2.03,5,,-1<br />
2014-10-5,28,24,20,22,21,20,94,78,62,1015,1012,1009,19,14,10,,,,25.91,6,,-1<br />
2014-10-6,30,26,21,21,19,18,94,68,44,1015,1012,1009,19,14,10,,,,2.03,5,Lluvia,-1<br />
2014-10-7,30,26,21,22,21,18,94,77,46,1016,1013,1009,19,12,8,,,,2.03,4,Lluvia,-1<br />
2014-10-8,28,24,22,23,22,20,94,80,70,1014,1012,1009,19,17,14,,,,0.25,6,Tormenta,-1<br />
2014-10-9,29,24,18,22,21,18,94,75,55,1014,1011,1009,19,14,10,,,,0.00,6,Lluvia,-1<br />
2014-10-10,31,24,19,22,20,18,94,74,52,1016,1013,1010,19,14,10,,,,0.00,5,Lluvia-Tormenta,-1<br />
2014-10-11,29,24,20,23,21,20,100,80,50,1018,1015,1012,19,15,10,,,,0.00,6,Tormenta,-1<br />
2014-10-12,29,24,20,22,21,19,100,82,66,1017,1015,1014,,,,,,,0.00,4,,-1<br />
2014-10-13,32,26,20,22,20,16,100,66,40,1015,1013,1010,19,16,10,,,,0.00,3,,-1<br />
2014-10-14,32,26,21,22,19,15,94,64,30,1016,1013,1010,19,19,19,,,,0.00,3,,-1<br />
2014-10-15,32,26,21,20,18,12,88,65,29,1016,1013,1011,19,14,10,,,,0.00,2,,-1<br />
2014-10-16,32,26,21,23,20,17,94,64,40,1016,1013,1011,,,,,,,0.00,4,,-1<br />
2014-10-17,31,26,20,23,21,20,100,73,49,1016,1013,1010,19,16,10,,,,0.00,5,,-1<br />
2014-10-18,32,26,20,22,20,17,94,70,35,1015,1012,1009,19,17,10,,,,0.00,4,Tormenta,-1<br />
2014-10-19,33,28,23,22,20,19,88,63,37,1015,1011,1009,19,14,10,,,,0.00,2,,-1<br />
2014-10-20,29,26,22,21,19,18,88,77,62,1015,1013,1011,10,10,10,,,,1.02,4,,-1<br />
2014-10-21,33,27,21,21,19,15,88,54,34,1015,1012,1008,19,14,10,,,,0.00,3,,-1<br />
2014-10-22,30,24,19,22,21,19,94,71,46,1018,1013,1011,19,16,10,,,,2.03,4,,-1<br />
2014-10-23,32,26,20,23,19,14,94,69,35,1015,1013,1011,19,13,10,,,,0.00,3,,-1<br />
2014-10-24,29,25,21,22,21,20,95,81,55,1015,1012,1009,19,19,18,,,,0.00,6,Lluvia-Tormenta,-1<br />
2014-10-25,31,26,20,23,21,19,94,72,49,1014,1012,1009,19,14,10,,,,1.02,3,,-1<br />
2014-10-26,30,25,21,22,21,20,94,80,58,1012,1011,1009,19,14,10,,,,0.00,2,,-1<br />
2014-10-27,30,28,23,24,22,19,88,74,51,1014,1011,1009,11,10,10,,,,3.05,4,Lluvia,-1<br />
2014-10-28,31,28,24,20,19,17,78,56,41,1015,1013,1011,19,14,10,,,,0.00,5,,-1<br />
2014-10-29,31,26,21,22,20,19,94,69,41,1016,1012,1008,19,13,10,,,,0.00,3,,-1<br />
2014-10-30,31,26,21,24,19,14,94,67,29,1013,1010,1007,19,14,10,,,,0.00,3,,-1<br />
2014-10-31,32,28,23,22,18,14,83,57,29,1013,1010,1008,19,14,10,,,,0.00,2,,-1<br />
2014-11-1,33,27,22,22,18,15,94,57,34,1015,1012,1009,19,16,10,,,,0.00,4,,-1<br />
2014-11-2,32,26,21,22,21,18,94,73,46,1015,1012,1009,19,16,10,,,,0.00,2,,-1<br />
2014-11-3,29,25,21,22,19,18,89,69,43,1014,1011,1007,19,13,10,,,,0.00,2,,-1<br />
2014-11-4,32,27,21,21,20,19,88,74,49,1013,1011,1008,19,13,10,,,,0.00,1,,-1<br />
2014-11-5,32,27,22,21,18,14,94,56,29,1013,1011,1008,19,16,10,,,,0.00,3,,-1<br />
2014-11-6,29,26,21,22,22,20,94,80,55,1015,1013,1010,19,16,10,,,,5.08,5,Lluvia,-1<br />
2014-11-7,31,27,22,23,20,17,100,69,32,1013,1011,1008,19,19,19,,,,0.00,5,,-1<br />
2014-11-8,32,27,22,22,21,19,94,72,39,1013,1011,1007,19,14,10,,,,0.00,3,,-1<br />
2014-11-9,33,27,22,22,19,14,94,72,31,1015,1011,1008,14,14,14,,,,0.00,3,Tormenta,-1<br />
2014-11-10,32,26,21,22,20,17,100,76,40,1013,1011,1009,,,,,,,0.00,4,Lluvia-Tormenta,-1<br />
2014-11-11,32,26,21,22,21,18,100,73,43,1012,1011,1007,,,,,,,0.00,3,,-1<br />
2014-11-12,25,22,20,21,21,20,100,86,74,1012,1011,1010,,,,,,,0.00,,,-1<br />
2014-11-13,32,26,19,24,21,17,100,74,32,1013,1010,1008,19,14,10,,,,6.10,4,Lluvia,-1<br />
2014-11-14,32,27,22,23,21,18,94,68,39,1014,1012,1009,19,19,19,,,,0.00,4,,-1<br />
2014-11-15,32,27,22,22,20,18,100,71,35,1016,1013,1009,19,19,19,,,,0.00,5,,-1<br />
2014-11-16,32,27,21,21,18,11,100,64,27,1016,1014,1012,19,13,10,,,,4.06,5,Lluvia,-1<br />
2014-11-17,32,26,19,22,19,14,100,72,31,1016,1013,1010,19,13,10,,,,0.00,4,,-1<br />
2014-11-18,32,26,19,23,21,18,94,73,34,1014,1011,1008,19,16,10,,,,8.89,3,,-1<br />
2014-11-19,33,27,20,22,19,17,100,67,43,1014,1011,1008,19,19,19,,,,0.00,2,,-1<br />
2014-11-20,30,26,22,21,20,17,88,74,48,1012,1010,1008,10,10,10,,,,0.00,2,,-1<br />
2014-11-21,32,26,20,23,21,19,100,70,44,1014,1012,1009,19,19,19,,,,0.00,4,,-1<br />
2014-11-22,31,27,22,22,21,20,94,73,52,1014,1012,1010,19,13,10,,,,0.00,2,,-1<br />
2014-11-23,31,26,21,25,21,18,100,75,51,1015,1012,1008,19,16,10,,,,0.00,5,,-1<br />
2014-11-24,31,26,21,22,20,18,100,65,43,1015,1012,1009,19,14,10,,,,1.02,5,Lluvia,-1<br />
2014-11-25,32,26,20,23,20,16,100,67,38,1015,1012,1008,19,16,10,,,,0.00,5,,-1<br />
2014-11-26,33,27,20,23,21,19,94,71,41,1015,1011,1009,19,16,10,,,,0.00,2,,-1<br />
2014-11-27,33,27,21,22,21,19,94,68,40,1014,1011,1009,19,14,10,,,,0.00,1,,-1<br />
2014-11-28,31,26,21,21,20,19,88,65,44,1014,1012,1010,19,16,10,,,,0.00,2,,-1<br />
2014-11-29,33,27,20,24,18,13,88,58,29,1015,1012,1010,19,15,10,21,21,,0.00,2,,0<br />
2014-11-30,31,26,20,21,17,13,100,62,29,1014,1012,1010,19,16,10,,,,0.00,5,,-1<br />
2014-12-1,29,24,21,21,20,18,100,77,58,1015,1013,1011,19,19,19,,,,0.00,4,,-1<br />
2014-12-2,32,26,19,21,19,17,94,68,31,1013,1010,1007,19,13,10,,,,0.00,5,,-1<br />
2014-12-3,32,26,19,21,18,17,100,63,32,1013,1011,1007,19,16,10,,,,0.00,4,,-1<br />
2014-12-4,33,27,22,24,21,19,94,71,36,1014,1012,1008,19,19,19,,,,0.00,2,,-1<br />
2014-12-5,33,28,24,24,21,18,83,58,41,1015,1012,1008,19,14,10,,,,0.00,3,,-1<br />
2014-12-6,32,26,20,21,20,19,94,73,46,1015,1012,1010,19,14,10,,,,0.00,4,,-1<br />
2014-12-8,32,28,22,24,19,14,94,66,29,1014,1011,1009,19,14,10,,,,1.02,2,,-1<br />
2014-12-9,32,26,19,21,19,14,100,69,35,1013,1011,1007,19,13,10,,,,0.00,3,,-1<br />
2014-12-10,32,25,18,22,20,18,100,71,49,1014,1012,1009,19,14,10,,,,0.00,2,,-1<br />
2014-12-11,33,27,20,21,19,17,94,68,38,1015,1012,1010,,,,,,,0.00,2,,-1<br />
2014-12-12,32,26,20,21,19,17,94,64,40,1015,1013,1010,19,14,10,,,,0.00,3,,-1<br />
2014-12-13,32,26,20,24,21,19,94,74,52,1014,1011,1007,19,13,10,,,,0.00,3,,-1<br />
2014-12-14,32,27,21,23,21,19,100,67,49,1012,1011,1008,10,10,10,,,,0.00,3,,-1<br />
2014-12-15,33,27,21,23,21,20,94,61,42,1014,1011,1009,19,19,19,,,,0.00,3,,-1<br />
2014-12-16,33,29,25,21,21,20,78,64,52,1015,1013,1010,10,10,10,,,,0.00,2,,-1<br />
2014-12-17,33,27,21,23,21,19,100,73,41,1016,1013,1009,19,16,10,,,,0.00,2,,-1<br />
2014-12-18,33,27,21,22,19,16,94,60,34,1015,1012,1008,19,16,10,,,,0.00,2,,-1<br />
2014-12-19,34,27,20,23,17,11,94,61,20,1014,1011,1008,19,19,19,,,,0.00,1,,-1<br />
2014-12-20,30,28,23,21,20,17,88,66,45,1016,1014,1010,10,10,10,21,21,,0.00,2,,200<br />
2014-12-21,33,27,20,24,22,20,100,72,46,1018,1014,1012,19,16,10,,,,0.00,1,,-1<br />
2014-12-22,33,27,21,23,21,20,94,76,46,1016,1013,1010,19,13,10,,,,0.00,2,,-1<br />
2014-12-23,32,26,21,21,20,19,94,72,46,1013,1012,1010,19,19,19,,,,0.00,3,,-1<br />
2014-12-24,33,27,20,22,19,16,94,60,38,1015,1013,1010,19,14,10,,,,0.00,2,,-1<br />
2014-12-25,33,27,20,23,19,9,94,63,24,1017,1014,1010,19,13,10,,,,0.00,2,,-1<br />
2014-12-26,33,26,19,22,19,18,94,72,38,1015,1012,1010,19,12,10,,,,0.00,3,,-1<br />
2014-12-27,32,26,19,23,21,19,88,66,36,1016,1014,1012,19,16,10,,,,0.00,4,,-1<br />
2014-12-28,32,26,19,20,18,17,94,61,29,1016,1013,1010,19,15,10,,,,0.00,3,,-1<br />
2014-12-29,33,26,19,21,19,18,100,67,37,1017,1015,1013,19,19,19,,,,0.00,4,,-1<br />
2014-12-30,31,26,20,23,21,19,100,69,43,1019,1016,1013,19,16,10,,,,2.03,5,,-1<br />
2014-12-31,33,26,19,21,18,13,94,63,28,1018,1015,1013,19,19,19,,,,0.00,4,,-1<br />
