
CLST,Temperatura máximaC,Temperatura mediaC,Temperatura mínimaC,Punto de rocíoC,MeanDew PointC,Min DewpointC,Max Humedad, Mean Humedad, Min Humedad, Max Presión al nivel del marhPa, Mean Presión al nivel del marhPa, Min Presión al nivel del marhPa, Max VisibilidadKm, Mean VisibilidadKm, Min VisibilidadkM, Max Velocidad del vientoKm/h, Mean Velocidad del vientoKm/h, Max Velocidad de ráfagasKm/h,Precipitaciónmm, CloudCover, Eventos,WindDirDegrees<br />
2014-8-19,12,10,8,8,8,7,100,87,71,1018,1016,1013,6,3,0,16,11,,0.00,8,Niebla,175<br />
2014-8-20,15,12,9,8,8,6,87,77,52,1019,1016,1015,7,5,3,26,10,,0.00,5,,196<br />
2014-8-21,17,13,9,8,7,6,87,69,41,1020,1017,1016,8,6,3,27,10,,0.00,5,,187<br />
2014-8-22,13,8,2,8,6,1,93,80,58,1020,1017,1015,8,4,0,29,10,,0.00,4,Niebla,176<br />
2014-8-23,12,9,7,8,6,5,87,80,56,1021,1016,1015,10,8,3,19,10,,4.06,7,Lluvia,170<br />
2014-8-24,11,8,6,5,3,2,93,73,52,1027,1023,1019,10,10,10,14,8,,0.00,6,Lluvia,158<br />
2014-8-25,17,8,-1,5,1,-2,100,66,23,1026,1020,1016,10,5,0,14,5,,0.00,3,Niebla,20<br />
2014-8-26,22,11,1,8,3,-7,87,61,7,1017,1014,1011,10,8,6,19,6,,0.00,0,,169<br />
2014-8-27,12,10,8,7,6,4,93,76,53,1021,1018,1016,10,8,4,16,10,,0.00,7,,164<br />
2014-8-28,19,12,6,8,6,4,87,69,30,1017,1015,1013,10,7,3,26,8,,0.00,6,,152<br />
2014-8-29,22,13,6,8,6,0,93,67,23,1016,1013,1010,10,7,2,23,10,,0.00,5,Niebla,173<br />
2014-8-30,17,12,7,9,7,5,82,69,39,1024,1020,1016,10,10,6,16,8,,0.00,6,Lluvia,188<br />
2014-8-31,16,11,7,9,8,6,87,79,57,1015,1013,1012,10,9,5,27,8,,0.00,7,,182<br />
2014-9-1,13,11,9,10,8,7,88,83,72,1018,1014,1011,10,9,5,23,10,,3.05,7,Lluvia,175<br />
2014-9-2,14,11,8,10,8,7,94,81,53,1017,1015,1012,10,8,0,16,8,,0.00,7,Niebla,138<br />
2014-9-3,14,11,8,9,8,6,94,78,54,1019,1017,1016,10,8,6,19,6,27,1.02,6,Lluvia,131<br />
2014-9-4,17,11,6,9,7,5,93,78,51,1047,1018,1015,10,9,5,23,8,,0.00,6,,170<br />
2014-9-5,14,11,8,9,7,5,93,75,48,1025,1021,1018,10,9,7,16,11,,4.06,6,Lluvia,169<br />
2014-9-6,16,9,2,7,4,1,93,71,31,1027,1023,1019,10,8,0,11,6,,0.00,2,Niebla,350<br />
2014-9-7,23,13,4,8,5,1,87,59,19,1022,1018,1014,10,8,6,8,3,,0.00,2,,209<br />
2014-9-8,16,12,7,9,7,4,87,71,52,1019,1016,1013,10,10,10,23,10,,0.00,,,161<br />
2014-9-9,13,10,7,9,6,2,94,73,46,1023,1019,1016,10,10,10,29,13,,0.00,6,,186<br />
2014-9-10,16,9,3,4,1,-5,87,58,15,1023,1018,1015,10,9,6,13,6,,0.00,4,,237<br />
2014-9-11,19,10,1,6,3,-1,87,62,23,1016,1013,1011,10,8,5,19,6,,0.00,,,205<br />
2014-9-12,19,10,2,7,5,0,93,68,35,1016,1014,1012,10,7,0,21,10,,0.00,1,Niebla,202<br />
2014-9-13,12,10,9,9,7,6,93,80,70,1028,1021,1014,10,9,6,16,10,,4.06,7,Lluvia,176<br />
2014-9-14,21,13,5,9,7,4,100,69,27,1028,1023,1020,10,6,0,11,5,,0.00,5,Niebla,283<br />
2014-9-15,28,16,4,10,6,3,93,57,12,1020,1015,1009,10,7,4,23,6,,0.00,1,,179<br />
2014-9-16,14,11,8,9,8,6,94,79,64,1018,1016,1015,10,6,0,27,10,,0.00,6,Niebla,169<br />
2014-9-17,14,12,10,9,8,8,94,79,57,1019,1017,1015,10,9,6,19,8,,0.00,8,,206<br />
2014-9-18,16,12,8,8,7,6,87,71,46,1024,1021,1018,10,8,5,24,10,,0.00,6,,182<br />
2014-9-19,19,13,7,8,7,4,87,68,34,1025,1022,1020,10,8,3,21,6,,0.00,6,,190<br />
2014-9-20,23,14,4,11,7,3,93,64,24,1023,1019,1014,10,7,3,16,6,,0.00,3,,160<br />
2014-9-21,19,12,6,11,9,5,100,77,46,1019,1017,1015,10,7,0,24,8,,0.00,5,Niebla,185<br />
2014-9-22,12,10,8,8,6,4,82,70,54,1023,1020,1018,10,9,3,19,14,,0.00,8,Lluvia,173<br />
2014-9-23,16,10,5,6,4,3,87,66,32,1025,1024,1021,10,10,8,19,6,,0.00,5,,186<br />
2014-9-24,14,10,7,6,6,4,87,69,45,1024,1019,1017,10,9,6,23,6,,0.00,7,,181<br />
2014-9-25,18,11,4,7,6,3,87,67,33,1022,1020,1018,10,9,3,23,8,,0.00,4,,181<br />
2014-9-26,19,13,6,8,6,1,93,63,25,1021,1017,1014,10,8,4,16,5,,0.00,6,,181<br />
2014-9-27,17,13,9,7,6,5,82,61,33,1019,1016,1014,10,10,8,13,6,,0.00,7,,164<br />
2014-9-28,22,14,8,10,7,4,82,57,23,1020,1017,1014,10,10,8,23,8,,0.00,5,,172<br />
2014-9-29,19,15,11,11,10,9,88,75,44,1018,1017,1015,10,10,8,19,8,,0.00,6,,165<br />
2014-9-30,24,18,12,11,8,4,88,58,18,1018,1015,1012,10,9,8,23,8,,0.00,5,,179<br />
2014-10-1,26,16,6,11,8,4,82,60,19,1017,1014,1011,10,8,4,23,8,,0.00,3,Niebla,162<br />
2014-10-2,23,16,9,11,9,7,100,73,25,1016,1014,1011,10,3,0,27,13,,0.00,6,Niebla,152<br />
2014-10-3,17,13,9,9,7,5,91,70,36,1016,1014,1012,10,7,0,24,11,29,0.00,5,Niebla,171<br />
2014-10-4,18,13,9,7,7,4,87,62,30,1020,1017,1014,10,10,10,26,13,,0.00,4,,176<br />
2014-10-5,23,15,7,8,7,4,87,59,21,1020,1018,1015,10,9,8,24,10,,0.00,4,,189<br />
2014-10-6,28,18,7,11,7,5,87,56,16,1016,1014,1011,10,8,5,23,8,,0.00,0,,164<br />
2014-10-7,24,16,7,10,8,5,87,61,23,1017,1016,1013,10,8,3,26,10,,0.00,1,,182<br />
2014-10-8,18,14,10,10,9,8,100,78,45,1020,1017,1015,10,6,0,27,13,,0.00,7,Niebla,173<br />
2014-10-9,18,13,9,8,4,-2,82,54,28,1020,1018,1016,10,10,10,23,13,,0.00,7,,177<br />
2014-10-10,22,12,3,4,1,-2,75,44,20,1019,1015,1013,10,9,7,23,6,,0.00,1,,180<br />
2014-10-11,25,14,4,5,3,0,81,45,13,1019,1017,1014,10,9,6,26,10,,0.00,1,,184<br />
2014-10-12,28,17,6,5,2,-4,81,43,10,1020,1016,1011,10,9,8,21,8,29,0.00,4,,149<br />
2014-10-13,29,20,11,6,3,-1,58,32,9,1017,1015,1011,10,10,10,24,8,,0.00,3,,173<br />
2014-10-14,28,19,9,9,4,2,67,43,14,1016,1014,1010,10,8,5,27,6,,0.00,6,,167<br />
2014-10-15,23,17,11,7,3,-3,71,41,13,1020,1017,1014,10,10,10,26,11,,0.00,8,,165<br />
2014-10-16,23,16,8,6,4,2,76,48,16,1020,1017,1013,10,9,8,19,8,,0.00,6,,179<br />
2014-10-17,23,17,11,8,6,3,72,50,24,1020,1017,1015,10,10,10,27,11,,0.00,5,,164<br />
2014-10-18,14,12,10,6,4,3,63,53,39,1021,1020,1018,10,10,10,13,8,,0.00,6,Lluvia,140<br />
2014-10-19,26,16,5,7,5,2,87,51,17,1021,1018,1014,10,9,5,27,10,,0.00,2,,177<br />
2014-10-20,31,19,8,7,5,3,76,42,10,1019,1016,1010,10,8,3,21,6,,0.00,3,,178<br />
2014-10-21,31,20,10,12,7,5,68,44,12,1016,1013,1011,10,9,8,37,8,39,0.00,0,,180<br />
2014-10-22,31,20,10,13,11,8,87,56,21,1017,1014,1009,10,9,8,24,11,,0.00,0,,174<br />
2014-10-23,31,22,13,12,11,8,82,47,15,1017,1015,1011,10,9,6,34,10,,0.00,,,178<br />
2014-10-24,32,22,12,10,8,5,77,40,12,1017,1015,1010,10,10,10,26,11,,0.00,,,172<br />
2014-10-25,32,22,13,8,6,4,63,35,11,1013,1011,1007,10,9,8,35,13,,0.00,,,201<br />
2014-10-26,23,17,11,10,8,7,82,59,29,1016,1014,1012,10,10,10,35,16,,0.00,1,,170<br />
2014-10-27,25,19,13,11,9,7,82,57,24,1019,1016,1012,10,10,10,26,11,,0.00,7,,170<br />
2014-10-28,24,18,11,10,9,8,82,61,28,1020,1017,1015,10,10,10,26,11,,0.00,3,,177<br />
2014-10-29,22,17,12,9,7,5,77,55,24,1021,1019,1015,10,10,10,32,14,,0.00,5,,185<br />
2014-10-30,23,16,9,7,5,0,76,47,17,1019,1016,1013,10,10,10,26,11,,0.00,5,,175<br />
2014-10-31,25,16,7,5,2,-2,71,37,11,1018,1016,1012,10,10,10,35,11,,0.00,,,182<br />
2014-11-1,22,15,8,5,3,-4,71,41,17,1018,1017,1015,10,10,7,24,10,,0.00,6,,169<br />
2014-11-2,21,14,7,4,2,-1,71,41,17,1020,1018,1016,10,10,10,29,13,,0.00,6,,175<br />
2014-11-3,24,14,4,2,-1,-8,70,37,6,1022,1019,1015,10,10,10,24,10,,0.00,,,181<br />
2014-11-4,27,17,6,3,-1,-4,66,32,8,1018,1015,1011,10,9,7,32,6,,0.00,0,,195<br />
2014-11-5,24,16,6,3,0,-6,71,34,13,1019,1017,1015,10,10,10,26,13,,0.00,2,,160<br />
2014-11-6,26,16,6,5,3,0,71,43,10,1022,1019,1015,10,10,10,29,11,,0.00,1,,174<br />
2014-11-7,29,18,8,6,4,-2,76,40,9,1021,1018,1013,10,10,10,27,10,,0.00,,,166<br />
2014-11-8,30,20,9,7,4,1,71,35,8,1016,1014,1009,10,9,8,26,11,,0.00,0,,186<br />
2014-11-9,29,20,11,7,5,2,71,39,10,1015,1013,1010,10,8,0,34,11,,0.00,0,,176<br />
2014-11-10,27,18,9,7,5,1,82,46,12,1017,1015,1011,10,10,10,37,16,,0.00,,,176<br />
2014-11-11,27,18,9,9,7,3,82,48,14,1017,1016,1013,10,9,8,32,13,,0.00,,,177<br />
2014-11-12,28,19,9,7,4,-1,76,37,9,1017,1015,1012,10,9,8,35,11,,0.00,0,,202<br />
2014-11-13,31,20,9,6,2,-6,66,31,4,1018,1015,1010,10,9,8,27,11,,0.00,0,,180<br />
2014-11-14,29,20,11,9,5,2,59,34,13,1017,1014,1012,10,9,8,27,13,29,0.00,0,,165<br />
2014-11-15,29,20,12,10,9,7,72,48,21,1019,1017,1013,10,10,10,26,11,,0.00,,,168<br />
2014-11-16,30,21,12,11,9,7,77,45,18,1017,1015,1010,10,9,7,29,11,,0.00,0,,179<br />
2014-11-17,27,20,13,11,9,8,72,48,24,1014,1013,1010,10,10,10,32,14,,0.00,1,,166<br />
2014-11-18,21,16,11,10,9,9,88,66,44,1018,1015,1013,10,9,5,29,16,,0.00,4,,163<br />
2014-11-19,25,19,13,9,8,7,72,53,26,1019,1016,1012,10,10,10,32,14,,0.00,4,,172<br />
2014-11-20,24,17,9,7,6,4,71,49,27,1019,1017,1014,10,10,10,35,13,,0.00,3,,176<br />
2014-11-21,27,17,8,5,4,2,76,41,13,1020,1017,1013,10,9,8,26,11,,0.00,2,,166<br />
2014-11-22,29,19,9,6,5,1,71,39,8,1017,1015,1011,10,9,5,32,10,,0.00,4,,159<br />
2014-11-23,24,17,9,8,7,5,82,51,24,1017,1015,1012,10,10,10,29,16,,0.00,4,,172<br />
2014-11-24,21,17,12,9,7,4,72,55,31,1017,1016,1014,10,10,10,16,10,,0.00,6,,167<br />
2014-11-25,26,19,13,6,4,1,55,40,20,1019,1015,1014,10,10,10,32,11,,0.00,5,,165<br />
2014-11-26,31,19,7,6,1,-4,62,31,5,1019,1015,1010,10,9,8,29,11,,0.00,0,,176<br />
2014-11-27,27,19,12,9,7,6,72,41,19,1017,1015,1012,10,10,10,34,13,,0.00,6,,169<br />
2014-11-28,24,18,11,9,8,6,77,52,27,1015,1013,1010,10,10,8,32,13,,0.00,6,,171<br />
2014-11-29,15,13,11,9,7,0,82,62,42,1021,1016,1013,10,10,8,29,11,,3.05,7,Lluvia,177<br />
2014-11-30,21,14,8,9,6,2,93,62,18,1022,1019,1016,10,9,5,23,11,,0.00,4,Niebla,164<br />
2014-12-1,28,18,8,7,3,-3,82,42,6,1019,1015,1010,10,10,10,24,10,,0.00,,,185<br />
2014-12-2,31,20,10,8,4,0,66,34,9,1015,1013,1009,10,9,6,37,10,29,0.00,,,198<br />
2014-12-3,34,22,11,9,7,2,77,38,8,1013,1010,1004,10,10,10,32,11,37,0.00,,,170<br />
2014-12-4,30,22,13,10,8,7,63,41,17,1014,1011,1008,10,10,10,34,13,24,0.00,,,170<br />
2014-12-5,26,18,11,11,9,8,88,65,32,1017,1015,1012,10,9,8,23,14,,0.00,6,,164<br />
2014-12-6,25,18,12,10,8,5,88,58,22,1023,1019,1016,10,9,7,29,16,,0.00,5,,174<br />
2014-12-7,31,20,10,8,6,3,76,40,11,1018,1013,1007,10,10,10,27,8,,0.00,,,180<br />
2014-12-8,31,22,13,11,9,7,72,43,19,1012,1010,1006,10,9,8,35,11,,0.00,0,,166<br />
2014-12-9,28,20,12,12,11,10,88,58,25,1013,1011,1008,10,9,5,34,14,,0.00,2,Niebla,172<br />
2014-12-10,25,19,12,11,11,10,82,61,32,1018,1015,1014,10,10,10,27,16,,0.00,2,,161<br />
2014-12-11,29,21,12,12,10,7,77,54,16,1018,1017,1012,10,10,8,34,13,,0.00,4,,174<br />
2014-12-12,28,21,14,11,8,2,67,44,18,1017,1016,1012,10,10,10,32,13,,0.00,5,,163<br />
2014-12-13,28,20,12,8,4,1,58,35,14,1017,1015,1011,10,10,10,32,13,,0.00,4,,171<br />
2014-12-14,23,17,10,8,6,2,76,46,26,1015,1014,1010,10,10,10,29,16,,0.00,7,,162<br />
2014-12-15,24,17,9,8,7,6,87,57,25,1019,1016,1013,10,10,10,27,16,,0.00,2,,169<br />
2014-12-16,26,18,10,9,7,6,71,50,21,1019,1018,1015,10,10,10,27,13,,0.00,,,173<br />
2014-12-17,29,20,12,9,7,4,77,46,15,1019,1017,1013,10,10,10,32,14,,0.00,,,185<br />
2014-12-18,29,21,12,7,6,4,59,34,13,1017,1014,1010,10,10,10,34,13,,0.00,,,185<br />
2014-12-19,26,19,12,8,7,6,72,47,21,1015,1014,1011,10,10,10,32,18,,0.00,,,178<br />
2014-12-20,17,13,9,11,8,7,88,70,43,1018,1016,1013,10,10,10,29,14,,0.76,6,Lluvia,168<br />
2014-12-21,22,17,11,10,7,2,88,59,17,1021,1018,1016,10,10,10,27,14,,0.00,5,,191<br />
2014-12-22,27,17,7,4,0,-11,71,35,4,1021,1018,1013,10,9,7,24,10,,0.00,2,,182<br />
2014-12-23,33,21,9,3,1,-2,58,27,6,1015,1012,1007,10,10,10,32,14,,0.00,,,191<br />
2014-12-24,31,21,11,7,3,1,51,29,10,1013,1011,1008,10,10,10,32,13,,0.00,,,183<br />
2014-12-25,30,21,12,8,7,5,67,37,14,1014,1012,1008,10,10,10,34,13,,0.00,,,183<br />
2014-12-26,31,21,12,8,7,6,63,37,14,1016,1014,1009,10,10,10,27,13,,0.00,,,185<br />
2014-12-27,29,21,13,10,7,6,63,40,17,1016,1013,1010,10,10,10,32,16,,0.00,,,176<br />
2014-12-28,31,21,12,11,8,3,77,45,12,1014,1012,1008,10,10,10,35,13,,0.00,,,178<br />
2014-12-29,29,21,12,11,9,6,72,47,21,1017,1014,1012,10,10,10,37,18,,0.00,,,179<br />
2014-12-30,28,21,13,11,10,7,82,54,22,1017,1014,1009,10,9,5,34,14,,0.00,3,,194<br />
2014-12-31,28,21,15,10,8,6,63,44,16,1015,1014,1011,10,10,10,35,14,39,0.00,3,,185<br />
