
BOT,Temperatura máximaC,Temperatura mediaC,Temperatura mínimaC,Punto de rocíoC,MeanDew PointC,Min DewpointC,Max Humedad, Mean Humedad, Min Humedad, Max Presión al nivel del marhPa, Mean Presión al nivel del marhPa, Min Presión al nivel del marhPa, Max VisibilidadKm, Mean VisibilidadKm, Min VisibilidadkM, Max Velocidad del vientoKm/h, Mean Velocidad del vientoKm/h, Max Velocidad de ráfagasKm/h,Precipitaciónmm, CloudCover, Eventos,WindDirDegrees<br />
2014-7-21,13,6,-2,1,-2,-7,100,67,18,1040,1037,1034,19,9,0,39,10,63,0.51,5,Niebla-Lluvia-Nieve-Tormenta,283<br />
2014-7-22,13,4,-4,-5,-9,-12,64,35,10,1038,1036,1032,19,12,10,26,11,42,0.00,2,,297<br />
2014-7-23,11,2,-7,-7,-13,-19,74,32,6,1038,1035,1032,19,12,10,35,13,58,0.00,1,,314<br />
2014-7-24,13,2,-9,-2,-13,-19,93,32,5,1038,1035,1032,19,12,10,24,10,47,0.00,1,,309<br />
2014-7-25,12,4,-4,1,-6,-14,92,48,13,1037,1035,1032,19,11,3,34,13,60,0.00,5,Niebla-Nieve,299<br />
2014-7-26,12,5,-2,-12,-16,-28,41,20,4,1038,1036,1033,19,12,10,26,11,47,0.00,6,,293<br />
2014-7-27,12,3,-7,-16,-22,-27,32,14,4,1039,1037,1036,19,12,10,21,10,39,0.00,4,,335<br />
2014-7-28,13,2,-9,-2,-14,-24,100,31,4,1040,1038,1037,19,12,10,21,8,34,0.00,1,,333<br />
2014-7-29,14,4,-6,0,-8,-13,86,45,16,1040,1039,1037,19,12,10,23,8,40,0.00,4,Tormenta,4<br />
2014-7-30,14,6,-2,-2,-6,-11,75,45,11,1042,1040,1037,19,12,10,23,8,42,0.00,4,,351<br />
2014-7-31,16,6,-4,-4,-9,-15,69,35,5,1041,1038,1036,19,12,10,14,8,,0.00,1,,22<br />
2014-8-1,15,6,-3,-6,-11,-21,60,31,4,1040,1038,1036,19,12,10,16,8,,0.00,1,,37<br />
2014-8-2,15,4,-7,-5,-13,-19,74,27,5,1041,1039,1037,19,12,10,23,10,34,0.00,1,,90<br />
2014-8-3,17,7,-2,-7,-12,-20,48,28,4,1041,1038,1036,19,12,10,19,10,,0.00,1,,42<br />
2014-8-4,17,6,-7,-3,-12,-22,70,27,4,1041,1038,1037,19,12,10,32,10,40,0.00,1,,72<br />
2014-8-5,17,7,-4,0,-3,-7,93,57,14,1042,1040,1037,19,10,3,13,8,,0.00,4,Niebla,121<br />
2014-8-6,17,6,-6,0,-6,-13,93,52,8,1039,1037,1034,19,12,10,16,10,,0.00,2,,102<br />
2014-8-7,14,6,-3,2,-2,-7,93,63,18,1038,1037,1034,19,10,3,32,14,50,0.00,1,Niebla,89<br />
2014-8-8,10,4,-1,2,1,-2,93,78,41,1040,1038,1037,14,7,3,19,8,,0.00,4,Niebla,108<br />
2014-8-9,15,7,-1,2,0,-5,93,68,17,1040,1038,1034,19,8,1,23,10,40,0.25,4,Niebla,78<br />
2014-8-10,15,6,-4,1,-3,-7,93,53,12,1040,1037,1034,19,12,10,14,6,32,0.00,2,Tormenta,301<br />
2014-8-11,17,7,-2,-2,-7,-11,60,35,7,1040,1038,1034,19,12,10,21,8,40,0.00,2,,287<br />
2014-8-12,17,9,2,2,-2,-9,81,49,9,1040,1038,1035,19,12,10,23,8,32,0.25,4,,309<br />
2014-8-13,14,7,0,4,0,-3,95,60,30,1040,1038,1035,19,11,3,23,13,,0.25,4,Niebla-Lluvia-Tormenta,64<br />
2014-8-14,14,7,-1,3,-1,-13,100,65,8,1039,1037,1035,19,8,1,29,11,48,0.51,6,Niebla-Tormenta,60<br />
2014-8-15,14,7,1,1,-1,-6,93,58,16,1042,1039,1037,19,11,10,27,11,48,0.51,6,,301<br />
2014-8-16,15,8,1,1,-3,-13,93,55,6,1043,1041,1038,19,11,8,27,11,47,0.00,4,Lluvia,294<br />
2014-8-17,14,6,-4,2,-1,-7,93,66,13,1041,1038,1035,14,8,3,27,11,,0.00,3,Niebla,90<br />
2014-8-18,11,6,0,3,1,-1,93,75,33,1040,1037,1035,19,7,1,24,14,42,2.03,5,Niebla-Lluvia-Tormenta,95<br />
2014-8-19,12,5,-2,1,-2,-5,100,67,25,1040,1038,1036,19,9,0,26,13,,0.00,5,Niebla-Lluvia,91<br />
2014-8-20,15,6,-4,1,-4,-12,86,55,7,1040,1038,1036,19,12,10,19,8,40,0.00,2,,79<br />
2014-8-21,17,7,-4,0,-6,-15,93,45,4,1040,1037,1035,19,12,10,26,10,40,0.00,1,,315<br />
2014-8-22,16,7,-2,-2,-11,-24,81,35,4,1040,1037,1020,19,12,10,27,10,48,0.00,1,,329<br />
2014-8-23,16,6,-4,-3,-12,-17,75,29,4,1039,1036,1033,19,12,10,26,10,45,0.00,1,,315<br />
2014-8-24,16,8,-1,-3,-14,-21,75,22,4,1037,1035,1032,19,12,10,23,10,42,0.00,2,,316<br />
2014-8-25,17,6,-6,-2,-13,-21,61,26,4,1037,1035,1032,19,12,10,26,10,45,0.00,2,,350<br />
2014-8-26,16,6,-4,2,-3,-12,93,58,7,1038,1036,1033,19,11,3,21,10,40,0.00,2,Niebla,40<br />
2014-8-27,16,7,-1,3,-3,-11,93,57,8,1038,1036,1033,19,9,3,23,11,39,0.00,5,Niebla,108<br />
2014-8-28,15,4,-6,0,-4,-11,93,57,13,1038,1036,1034,19,11,1,19,10,,0.00,5,Niebla,92<br />
2014-8-29,13,6,-2,3,1,-3,93,67,32,1039,1037,1034,14,9,3,23,11,,0.00,5,Niebla,93<br />
2014-8-30,12,6,0,4,2,-4,93,76,36,1041,1039,1036,19,9,3,27,10,,5.08,6,Niebla-Lluvia-Nieve,100<br />
2014-8-31,12,7,2,3,2,0,93,75,34,1041,1039,1036,19,8,3,19,8,,0.25,6,Niebla-Lluvia-Nieve-Tormenta,104<br />
2014-9-1,15,8,1,3,1,-2,93,69,26,1040,1038,1035,19,10,2,24,13,42,0.00,5,Niebla-Lluvia-Nieve-Tormenta,298<br />
2014-9-2,16,9,2,2,-2,-5,81,47,15,1039,1036,1033,19,12,10,23,13,37,0.00,4,,325<br />
2014-9-3,16,9,2,3,-1,-5,87,53,17,1040,1037,1034,19,11,8,23,13,40,2.03,5,Lluvia-Granizo-Tormenta,290<br />
2014-9-4,11,6,1,3,2,0,93,77,52,1040,1037,1035,19,11,8,26,11,,0.00,5,Lluvia,95<br />
2014-9-5,13,8,2,3,1,-4,100,77,31,1041,1038,1035,19,10,3,29,11,45,0.25,6,Niebla-Lluvia-Tormenta,233<br />
2014-9-6,14,8,1,1,-3,-8,87,48,15,1041,1038,1035,19,12,10,23,10,,0.00,5,,1<br />
2014-9-7,13,7,1,3,1,-2,87,62,29,1041,1038,1036,19,12,10,23,8,,0.00,5,Tormenta,85<br />
2014-9-8,16,8,1,2,1,-2,93,61,20,1042,1039,1036,19,12,10,23,10,,0.00,3,,33<br />
2014-9-9,17,8,-2,1,-2,-7,100,55,12,1040,1038,1035,19,11,3,16,8,,0.00,2,Niebla,305<br />
2014-9-10,18,9,-1,3,-6,-11,81,33,8,1038,1035,1032,19,12,10,19,8,37,0.00,1,,338<br />
2014-9-11,16,9,3,6,3,-1,93,74,30,1036,1035,1032,19,9,3,27,11,,1.02,5,Niebla-Lluvia-Granizo-Tormenta,75<br />
2014-9-12,13,7,1,7,3,0,93,75,38,1036,1034,1032,14,9,3,23,8,,4.06,5,Niebla-Lluvia-Tormenta,90<br />
2014-9-13,11,7,3,7,3,0,100,83,57,1039,1037,1034,14,9,4,24,11,,4.06,6,Niebla-Lluvia-Tormenta,60<br />
2014-9-14,15,7,-2,3,-1,-7,93,60,13,1040,1038,1036,19,11,6,16,8,,0.00,3,,71<br />
2014-9-15,15,7,-2,4,2,-1,100,73,34,1041,1039,1037,19,9,1,19,10,,0.00,1,Niebla,87<br />
2014-9-16,15,8,0,2,-1,-11,93,59,12,1040,1038,1035,19,10,3,26,10,,0.00,2,Niebla,58<br />
2014-9-17,16,8,-1,3,-3,-15,93,51,7,1039,1036,1034,19,11,1,29,11,53,0.00,2,Niebla,49<br />
2014-9-18,13,7,0,4,2,-2,100,75,34,1039,1036,1034,14,8,3,29,11,,2.03,5,Niebla-Lluvia-Tormenta,103<br />
2014-9-19,14,7,0,2,-2,-8,93,55,12,1039,1036,1033,19,12,10,27,8,,0.00,4,,314<br />
2014-9-20,14,8,1,3,1,-1,100,67,29,1039,1037,1034,19,10,3,23,10,,0.00,4,Niebla,81<br />
2014-9-21,13,7,1,5,3,0,93,77,38,1039,1037,1034,14,8,1,29,10,,0.00,6,Niebla-Lluvia,99<br />
2014-9-22,13,8,2,4,2,-1,93,66,30,1039,1037,1034,19,10,1,23,8,,0.00,6,Niebla,92<br />
2014-9-23,14,8,3,4,2,0,93,68,34,1038,1036,1033,19,10,3,21,10,,0.00,5,Niebla-Lluvia-Tormenta,80<br />
2014-9-24,12,8,4,5,3,1,93,73,40,1040,1037,1034,19,8,3,21,10,,0.00,6,Niebla-Lluvia,96<br />
2014-9-25,17,11,4,6,1,-6,93,57,13,1039,1036,1033,19,9,3,23,11,40,0.00,5,Niebla,98<br />
2014-9-26,17,9,2,6,2,-2,93,60,21,1038,1036,1034,19,11,4,19,8,,2.03,6,Niebla-Lluvia-Granizo-Tormenta,68<br />
2014-9-27,17,10,3,5,3,1,93,64,31,1039,1036,1033,19,10,3,23,11,,0.00,6,Niebla-Tormenta,85<br />
2014-9-28,11,8,4,4,2,0,87,69,43,1040,1038,1036,19,11,8,27,13,47,5.08,6,Lluvia-Tormenta,123<br />
2014-9-29,12,6,1,4,2,0,93,73,47,1040,1038,1034,14,9,4,24,10,,0.51,6,Niebla-Lluvia-Tormenta,97<br />
2014-9-30,16,8,1,4,2,-2,93,63,25,1040,1038,1036,19,11,6,21,10,29,0.00,6,Lluvia-Tormenta,281<br />
2014-10-1,14,8,2,4,1,-3,93,63,32,1041,1038,1036,19,11,3,29,11,,0.00,6,Niebla-Lluvia-Tormenta,92<br />
2014-10-2,12,7,1,3,2,0,93,69,31,1042,1039,1037,19,9,3,24,11,,0.00,5,Niebla,84<br />
2014-10-3,13,8,2,2,1,-2,89,64,31,1042,1039,1037,19,11,3,24,13,,0.51,4,Niebla-Lluvia-Tormenta,81<br />
2014-10-4,14,7,1,6,2,-2,93,68,28,1040,1037,1034,19,10,3,26,10,39,0.00,4,Niebla-Lluvia-Tormenta,88<br />
2014-10-5,16,9,2,4,3,0,100,69,25,1038,1037,1034,19,9,3,19,11,39,0.00,6,Niebla,83<br />
2014-10-6,14,9,3,5,3,1,93,70,41,1040,1038,1036,14,8,3,19,10,39,2.03,6,Niebla-Lluvia-Tormenta,105<br />
2014-10-7,12,8,4,6,4,3,93,79,53,1040,1038,1036,14,8,3,23,13,,0.00,6,Niebla-Lluvia-Tormenta,95<br />
2014-10-8,16,9,3,6,3,-1,100,69,29,1039,1037,1033,19,8,0,26,11,50,2.03,5,Niebla-Lluvia-Tormenta,96<br />
2014-10-9,17,9,1,3,1,-1,93,58,19,1038,1035,1032,19,12,10,24,8,,0.00,3,Tormenta,333<br />
2014-10-10,17,10,2,4,1,-2,100,59,19,1039,1036,1035,19,10,0,32,11,40,0.00,5,Niebla,77<br />
2014-10-11,17,9,1,4,1,-2,93,56,24,1041,1039,1037,19,12,10,29,13,50,0.00,4,,72<br />
2014-10-12,17,9,1,3,-1,-4,93,54,16,1042,1039,1037,19,11,3,21,11,40,0.00,4,Niebla,69<br />
2014-10-13,17,10,2,3,1,-3,93,57,16,1041,1040,1037,19,10,3,26,14,47,0.00,3,Niebla,90<br />
2014-10-14,16,9,1,3,-1,-6,100,54,15,1043,1041,1039,19,11,3,27,16,48,0.00,1,Niebla,69<br />
2014-10-15,16,8,-1,2,-5,-9,92,40,15,1044,1042,1040,19,11,3,26,10,37,0.00,1,Niebla,52<br />
2014-10-16,18,8,-1,-1,-7,-14,53,32,10,1043,1041,1038,19,12,10,23,11,35,0.00,1,,59<br />
2014-10-17,18,8,-2,3,-3,-12,87,48,5,1041,1038,1036,19,12,10,34,14,40,0.00,1,,79<br />
2014-10-18,17,8,-2,1,-3,-10,87,45,19,1038,1036,1033,19,12,10,27,10,48,0.00,3,,67<br />
2014-10-19,16,8,1,3,0,-4,93,56,17,1038,1036,1033,19,10,3,32,13,55,0.76,6,Niebla-Lluvia,75<br />
2014-10-20,12,8,3,4,2,0,87,74,35,1039,1037,1034,19,10,2,27,13,34,4.06,6,Lluvia-Tormenta,101<br />
2014-10-21,11,6,0,4,2,0,100,81,44,1039,1037,1035,19,7,1,21,11,,0.25,6,Niebla-Lluvia-Nieve,53<br />
2014-10-22,12,7,1,5,3,0,100,76,47,1040,1038,1036,14,9,3,16,8,,2.03,6,Niebla-Lluvia-Tormenta,112<br />
2014-10-23,16,10,4,5,3,-2,93,69,21,1040,1037,1034,19,9,0,23,11,,1.02,5,Niebla-Lluvia-Tormenta,105<br />
2014-10-24,17,10,3,4,1,-9,100,59,8,1039,1036,1033,19,11,3,24,8,32,0.00,3,Niebla,125<br />
2014-10-25,16,9,2,4,1,-2,100,64,21,1039,1037,1034,19,10,3,27,13,53,0.00,3,Niebla,105<br />
2014-10-26,17,9,2,3,-1,-9,93,54,9,1037,1035,1033,19,10,3,23,14,45,0.00,2,Niebla,105<br />
2014-10-27,17,9,1,3,-1,-7,93,56,13,1037,1035,1031,14,9,3,24,8,,0.00,3,Niebla,84<br />
2014-10-28,17,9,2,4,1,-5,93,57,15,1038,1036,1032,19,10,3,24,8,37,0.25,4,Niebla-Lluvia-Tormenta,96<br />
2014-10-29,18,9,-1,2,-6,-14,93,39,4,1038,1034,1031,19,12,10,24,10,,0.00,2,,317<br />
2014-10-30,18,9,0,2,-6,-14,60,31,6,1035,1033,1032,19,11,10,26,6,50,0.00,3,,357<br />
2014-10-31,17,9,1,4,-1,-9,93,51,19,1037,1035,1033,19,11,10,27,10,40,0.00,5,,76<br />
2014-11-1,16,9,3,5,2,-2,87,57,29,1038,1036,1034,19,11,3,19,11,,0.00,5,Niebla-Tormenta,85<br />
2014-11-2,15,8,1,5,3,0,93,65,32,1039,1037,1035,19,11,4,27,13,40,3.05,6,Niebla-Lluvia-Tormenta,78<br />
2014-11-3,19,11,2,5,-2,-12,93,47,7,1038,1035,1032,19,12,10,23,8,37,0.00,5,,97<br />
2014-11-4,19,9,-1,3,-4,-12,93,43,5,1038,1035,1032,19,12,10,26,13,39,0.00,2,,100<br />
2014-11-5,20,11,2,4,-2,-10,93,47,6,1040,1037,1035,19,11,3,26,10,45,0.00,5,Niebla,71<br />
2014-11-6,20,11,1,4,-5,-16,93,39,5,1042,1039,1037,19,11,0,24,11,39,0.00,6,Niebla,99<br />
2014-11-7,21,10,0,4,-7,-18,87,32,5,1040,1038,1035,19,12,10,21,10,40,0.00,2,,83<br />
2014-11-8,19,12,4,5,1,-8,93,51,21,1039,1037,1034,19,11,4,47,16,82,0.25,4,Niebla-Lluvia-Tormenta,82<br />
2014-11-9,6,4,3,5,2,0,93,86,76,1038,1034,1010,14,10,4,14,8,,0.00,6,Niebla,75<br />
2014-11-12,21,16,10,-1,-7,-13,41,18,6,1037,1033,1030,19,12,10,19,11,34,0.00,4,,165<br />
2014-11-13,17,10,2,5,-1,-12,93,52,8,1035,1033,1030,19,11,3,26,11,,0.00,6,Niebla,103<br />
2014-11-14,16,10,4,4,2,-2,93,62,26,1036,1034,1032,19,10,3,26,13,,0.00,6,Niebla,97<br />
2014-11-15,15,9,2,3,0,-5,93,57,19,1039,1036,1034,19,10,3,24,13,45,0.25,3,Niebla-Lluvia,83<br />
2014-11-16,16,9,3,3,0,-3,81,52,24,1039,1037,1034,19,11,6,29,16,42,0.51,4,Lluvia-Tormenta,76<br />
2014-11-17,15,9,2,4,2,-2,93,61,29,1039,1036,1033,19,9,3,27,11,,0.51,5,Niebla-Lluvia,110<br />
2014-11-18,17,11,5,4,-3,-13,87,42,8,1037,1035,1031,19,12,10,26,11,48,0.00,6,,284<br />
2014-11-19,18,8,-2,-9,-14,-18,32,17,5,1037,1034,1031,19,12,10,19,8,37,0.00,1,,291<br />
2014-11-20,15,7,-1,3,-2,-13,93,44,20,1036,1034,1031,19,11,4,27,8,,0.00,5,Niebla-Tormenta,78<br />
2014-11-21,16,8,0,4,2,-4,93,60,28,1036,1034,1032,19,10,3,23,11,,0.51,5,Niebla-Lluvia-Tormenta,92<br />
2014-11-22,13,8,2,7,3,0,93,73,35,1037,1036,1032,14,10,4,26,13,45,5.08,6,Niebla-Lluvia-Tormenta,74<br />
2014-11-23,14,8,2,6,4,1,100,79,30,1037,1035,1032,19,8,1,37,13,69,6.10,6,Niebla-Lluvia-Granizo-Tormenta,86<br />
2014-11-24,18,11,3,5,2,-5,93,59,21,1036,1034,1030,19,12,10,32,11,52,0.00,6,Tormenta,272<br />
2014-11-25,19,10,1,4,-9,-17,87,27,4,1037,1034,1031,19,12,10,16,8,37,0.00,3,,259<br />
2014-11-26,19,10,1,5,-4,-16,93,42,7,1036,1034,1030,19,10,3,26,10,39,0.25,6,Niebla-Lluvia-Tormenta,110<br />
2014-11-27,17,10,3,5,2,-3,93,59,19,1038,1035,1033,19,10,3,35,13,53,0.00,6,Niebla-Tormenta,90<br />
2014-11-28,16,9,3,4,2,-3,87,65,28,1038,1036,1034,19,11,3,35,14,61,0.51,6,Niebla-Tormenta,95<br />
2014-11-29,18,10,2,6,2,-3,100,63,18,1037,1035,1032,19,9,3,24,11,,0.51,4,Niebla-Lluvia-Tormenta,82<br />
2014-11-30,17,9,2,5,3,0,93,63,32,1037,1035,1033,14,10,3,29,10,50,4.06,5,Niebla-Lluvia-Tormenta,48<br />
2014-12-1,16,10,4,6,4,2,100,74,37,1037,1035,1033,19,11,2,32,11,55,11.94,6,Niebla-Lluvia-Granizo-Tormenta,58<br />
2014-12-2,17,10,3,7,4,2,100,72,30,1037,1034,1030,14,9,0,21,10,,0.00,6,Niebla,97<br />
2014-12-3,14,8,2,7,5,2,93,73,34,1038,1036,1033,19,9,3,19,14,,3.05,6,Niebla-Lluvia-Tormenta,97<br />
2014-12-4,18,11,4,6,1,-9,93,56,11,1039,1037,1034,19,9,3,27,13,42,0.00,3,Niebla-Lluvia,80<br />
2014-12-5,18,10,3,4,1,-5,93,55,13,1039,1037,1034,19,9,3,26,13,45,0.00,2,Niebla,104<br />
2014-12-6,19,11,3,4,1,-5,87,48,11,1038,1035,1031,19,12,10,26,10,45,0.00,3,Tormenta,86<br />
2014-12-7,19,11,4,5,2,-5,100,57,14,1037,1035,1031,19,11,3,29,11,48,0.25,5,Niebla-Lluvia-Tormenta,94<br />
2014-12-8,18,11,3,6,3,-3,93,63,14,1036,1034,1031,19,10,3,27,13,42,0.00,5,Niebla-Lluvia-Tormenta,113<br />
2014-12-9,16,10,3,5,2,-4,93,55,19,1036,1033,1031,19,9,3,29,13,50,0.00,4,Niebla-Tormenta,177<br />
2014-12-10,20,10,1,5,-2,-10,81,40,11,1036,1034,1031,19,12,10,16,10,45,0.00,3,,116<br />
2014-12-11,16,10,5,7,4,0,87,70,25,1040,1036,1034,19,10,4,19,10,,6.10,6,Niebla-Lluvia-Tormenta,78<br />
2014-12-12,19,11,2,5,3,0,93,65,22,1039,1036,1032,19,9,3,26,10,45,4.06,6,Niebla-Lluvia-Tormenta,55<br />
2014-12-13,15,10,5,5,3,-2,93,59,33,1037,1035,1032,19,12,10,24,11,45,0.25,6,Tormenta,34<br />
2014-12-14,12,7,3,7,3,1,93,71,50,1037,1035,1032,19,10,3,29,13,42,0.00,6,Lluvia-Tormenta,92<br />
2014-12-15,15,9,3,6,3,1,93,66,34,1037,1036,1034,19,12,6,24,14,45,0.00,5,Tormenta,71<br />
2014-12-16,14,10,6,7,5,3,93,74,52,1039,1037,1032,14,8,3,24,8,,0.25,6,Niebla-Lluvia-Tormenta,108<br />
2014-12-17,13,9,4,7,4,0,93,77,51,1039,1036,1033,19,9,3,29,14,48,4.06,6,Niebla-Lluvia-Tormenta,100<br />
2014-12-18,16,10,4,6,4,3,93,75,34,1036,1034,1032,19,11,4,32,13,55,2.03,6,Niebla-Lluvia-Tormenta,87<br />
2014-12-19,16,10,4,6,4,2,93,68,28,1036,1033,1030,19,9,3,27,11,35,0.51,5,Niebla,105<br />
2014-12-20,15,9,4,7,4,2,93,66,32,1034,1032,1030,19,11,4,23,11,,1.02,6,Niebla-Lluvia-Tormenta,334<br />
2014-12-21,18,10,3,6,-5,-12,87,33,9,1036,1034,1031,19,12,10,21,8,,2.03,6,,213<br />
2014-12-22,17,11,5,5,1,-10,93,52,18,1037,1034,1032,19,10,3,24,11,,0.00,6,Niebla,96<br />
2014-12-23,12,8,3,7,4,2,93,79,50,1039,1036,1033,19,8,3,23,13,40,4.06,5,Niebla-Lluvia,108<br />
2014-12-24,17,11,5,8,4,0,93,68,32,1038,1035,1032,19,8,3,24,10,,0.00,6,Niebla-Tormenta,98<br />
2014-12-25,13,9,4,6,4,2,81,64,47,1039,1036,1033,19,12,10,19,8,,2.03,6,Lluvia-Tormenta,83<br />
2014-12-26,16,10,3,7,4,2,93,69,35,1040,1038,1034,19,10,0,24,10,,0.00,6,Niebla-Tormenta,115<br />
2014-12-27,15,10,5,8,4,0,93,74,41,1040,1038,1036,19,11,6,23,10,42,7.87,6,Lluvia-Granizo-Tormenta,38<br />
2014-12-28,13,9,5,6,5,4,93,81,55,1040,1037,1034,19,8,3,23,8,,7.87,6,Niebla-Lluvia-Tormenta,42<br />
2014-12-29,11,8,4,7,5,3,94,83,58,1039,1037,1035,19,9,3,23,10,,7.11,6,Niebla-Lluvia-Tormenta,357<br />
2014-12-30,12,7,3,7,4,3,100,83,54,1038,1036,1033,14,7,0,19,10,,3.05,5,Niebla-Lluvia-Tormenta,74<br />
2014-12-31,17,10,3,6,3,-6,100,72,25,1037,1034,1032,19,9,0,24,8,39,1.02,5,Niebla-Lluvia-Tormenta,336<br />
