
UYST,Temperatura máximaC,Temperatura mediaC,Temperatura mínimaC,Punto de rocíoC,MeanDew PointC,Min DewpointC,Max Humedad, Mean Humedad, Min Humedad, Max Presión al nivel del marhPa, Mean Presión al nivel del marhPa, Min Presión al nivel del marhPa, Max VisibilidadKm, Mean VisibilidadKm, Min VisibilidadkM, Max Velocidad del vientoKm/h, Mean Velocidad del vientoKm/h, Max Velocidad de ráfagasKm/h,Precipitaciónmm, CloudCover, Eventos,WindDirDegrees<br />
2014-8-9,18,11,4,6,4,2,93,65,25,1025,1019,1013,10,9,3,24,10,,0.00,,,5<br />
2014-8-10,15,12,10,12,10,6,94,83,60,1015,1012,1011,10,9,2,23,11,,0.00,7,Lluvia-Tormenta,274<br />
2014-8-11,13,8,4,8,4,1,93,69,36,1019,1017,1016,10,10,10,19,8,,0.00,6,Niebla,181<br />
2014-8-12,15,8,1,6,1,-5,93,60,23,1024,1019,1016,19,10,10,32,14,53,0.00,3,,282<br />
2014-8-13,13,9,6,0,-3,-7,57,38,16,1029,1027,1025,19,13,10,27,21,48,0.00,1,,264<br />
2014-8-14,18,12,6,17,1,-4,100,54,22,1027,1024,1017,10,5,0,26,11,,0.00,,Niebla,335<br />
2014-8-15,19,11,2,5,1,-2,75,50,13,1027,1025,1023,10,10,10,24,14,,0.00,,,16<br />
2014-8-16,19,12,6,12,8,6,100,87,49,1025,1024,1023,10,4,0,21,13,,0.00,6,Niebla,38<br />
2014-8-17,22,14,6,13,10,7,100,85,44,1025,1023,1021,10,3,0,13,8,,0.00,2,Niebla,9<br />
2014-8-18,25,18,10,15,12,9,100,77,44,1022,1019,1016,10,8,3,19,11,,0.00,2,,351<br />
2014-8-19,24,16,8,15,12,7,94,76,44,1020,1019,1017,10,10,10,16,11,,0.00,,,343<br />
2014-8-20,26,18,11,16,13,10,94,73,38,1020,1017,1014,10,10,10,19,8,,0.00,,,19<br />
2014-8-21,30,22,13,17,15,13,94,72,34,1016,1013,1011,10,10,10,23,13,,0.00,,,9<br />
2014-8-22,23,19,15,16,15,12,100,80,57,1015,1013,1012,10,8,3,24,14,,0.00,5,,98<br />
2014-8-23,26,19,13,17,14,12,100,75,51,1013,1006,999,10,9,3,37,19,55,0.00,3,,43<br />
2014-8-24,24,18,13,19,16,12,100,89,66,1004,1001,1000,10,7,1,27,13,,0.00,6,Niebla-Lluvia-Tormenta,265<br />
2014-8-25,9,9,8,11,6,3,94,79,52,1004,1001,995,10,8,2,61,29,93,5.08,8,Lluvia,306<br />
2014-8-26,11,7,3,8,7,5,89,82,66,1017,1008,1000,19,7,2,48,40,77,0.00,8,Lluvia,241<br />
2014-8-27,9,8,7,3,2,1,71,64,47,1022,1020,1017,10,10,10,37,24,47,0.00,7,,222<br />
2014-8-28,11,8,6,7,4,2,87,70,54,1024,1023,1022,10,10,10,14,10,,0.00,6,,147<br />
2014-8-29,18,10,3,11,7,3,100,79,44,1023,1021,1019,19,12,10,19,8,,0.00,,,51<br />
2014-8-30,18,12,5,13,10,6,100,87,58,1020,1016,1011,10,6,0,16,8,,1.02,6,Niebla,59<br />
2014-8-31,18,14,11,13,11,9,100,89,59,1014,1012,1011,19,6,0,21,6,,0.00,4,Niebla-Lluvia,239<br />
2014-9-1,17,13,10,13,12,10,100,88,70,1015,1014,1013,10,6,1,23,11,,0.00,7,,120<br />
2014-9-2,17,14,12,14,13,11,94,86,73,1016,1013,1010,10,9,3,29,14,48,3.05,7,Lluvia,94<br />
2014-9-3,24,18,12,14,13,12,94,80,59,1022,1019,1016,10,9,3,32,16,,3.05,6,Lluvia,85<br />
2014-9-4,21,17,13,12,11,10,88,68,40,1025,1022,1020,10,10,10,40,23,61,0.00,7,,71<br />
2014-9-5,21,18,14,16,13,11,88,76,64,1021,1016,1009,10,9,3,27,24,47,0.51,6,Lluvia-Tormenta,47<br />
2014-9-6,20,16,11,17,13,9,100,87,66,1014,1010,1007,19,8,1,37,16,55,5.08,6,Lluvia-Granizo-Tormenta,9<br />
2014-9-7,21,14,8,11,7,-1,94,64,15,1019,1017,1014,10,10,10,24,11,,0.00,,,322<br />
2014-9-8,24,16,8,16,10,7,83,66,31,1018,1015,1009,19,13,10,16,13,,0.00,,,19<br />
2014-9-9,22,17,11,19,14,7,100,83,69,1009,1004,998,10,6,0,47,21,84,29.97,8,Lluvia-Granizo-Tormenta,14<br />
2014-9-10,17,13,9,10,6,-1,87,61,20,1018,1013,1008,10,10,10,26,14,,34.04,6,Tormenta,229<br />
2014-9-11,18,12,6,9,4,-1,93,59,18,1021,1020,1018,10,10,10,23,10,,0.00,,,283<br />
2014-9-12,19,12,5,11,6,3,87,60,29,1021,1019,1016,10,10,10,19,6,,0.00,,,49<br />
2014-9-13,16,13,12,14,13,8,95,87,71,1020,1018,1016,19,10,5,29,14,48,16.00,7,Lluvia,113<br />
2014-9-14,15,14,14,15,14,14,100,99,94,1019,1014,1011,7,2,0,32,18,40,26.92,8,Niebla-Lluvia,140<br />
2014-9-15,16,13,11,14,11,8,100,84,72,1018,1015,1012,10,9,2,27,23,47,5.08,6,Lluvia,195<br />
2014-9-16,17,11,6,16,9,5,93,79,55,1019,1018,1017,10,9,4,16,8,,0.00,4,Niebla,151<br />
2014-9-17,18,13,8,13,10,7,100,83,56,1021,1020,1019,10,9,3,21,8,,0.00,3,,56<br />
2014-9-18,20,14,8,15,12,9,94,79,51,1019,1016,1013,10,10,10,16,10,,0.00,3,,91<br />
2014-9-19,20,17,13,16,14,12,100,85,67,1014,1012,1010,10,8,1,21,10,,0.00,5,Niebla,151<br />
2014-9-20,17,14,11,14,12,9,100,87,64,1019,1015,1012,10,6,0,27,10,,0.00,6,Niebla,224<br />
2014-9-21,17,14,12,12,11,8,94,76,51,1023,1021,1019,10,10,10,27,19,,0.00,5,,130<br />
2014-9-22,21,16,9,10,9,8,88,65,39,1021,1017,1013,19,14,10,27,16,,0.00,3,,28<br />
2014-9-23,20,16,12,15,12,11,94,84,63,1014,1012,1009,10,9,5,26,11,,3.05,8,Lluvia,331<br />
2014-9-24,22,16,9,12,8,1,94,63,20,1016,1015,1012,19,11,5,23,14,,0.00,4,Lluvia,264<br />
2014-9-25,25,17,9,16,9,1,94,66,16,1015,1009,1002,10,7,1,35,16,53,13.97,7,Lluvia-Granizo-Tormenta,13<br />
2014-9-26,18,14,9,12,3,-6,88,51,15,1020,1016,1012,10,10,10,34,18,52,0.00,4,,217<br />
2014-9-27,18,12,5,10,4,-1,82,54,24,1023,1021,1018,10,10,10,23,6,,0.00,1,,25<br />
2014-9-28,21,16,10,18,14,6,100,84,58,1018,1011,1007,10,6,2,27,14,42,18.03,8,Lluvia-Tormenta,79<br />
2014-9-29,22,18,13,15,13,11,100,85,68,1016,1013,1009,10,9,1,16,11,,0.00,7,,162<br />
2014-9-30,22,16,9,14,12,7,94,77,37,1019,1016,1015,19,10,10,27,6,,0.00,7,,119<br />
2014-10-1,15,13,10,14,9,5,94,76,55,1029,1022,1015,19,11,10,29,14,,0.00,5,,157<br />
2014-10-2,15,12,9,11,8,-2,82,69,33,1031,1030,1028,10,10,10,29,16,,0.00,5,,118<br />
2014-10-3,18,14,11,10,8,7,82,63,40,1031,1029,1027,10,10,10,34,19,42,0.00,7,,70<br />
2014-10-4,19,17,14,14,11,10,88,66,46,1027,1021,1016,10,10,10,48,27,69,0.51,8,,62<br />
2014-10-5,21,18,15,16,13,13,100,73,53,1022,1016,1014,10,8,2,39,23,61,7.11,8,Lluvia,43<br />
2014-10-6,22,18,15,17,15,12,100,84,52,1015,1013,1012,10,7,1,27,16,37,7.11,6,Lluvia,334<br />
2014-10-7,23,18,12,16,13,11,100,78,44,1016,1014,1014,10,9,3,23,5,,0.00,3,,278<br />
2014-10-8,26,19,13,18,16,12,100,81,44,1015,1012,1007,10,8,1,23,5,,0.00,3,Niebla,51<br />
2014-10-9,23,19,16,21,18,2,100,86,27,1007,1003,1000,10,7,1,32,13,47,8.89,7,Niebla-Lluvia-Tormenta,340<br />
2014-10-10,16,14,12,16,9,7,100,71,50,1020,1015,1008,10,10,7,35,26,48,0.00,6,Lluvia,199<br />
2014-10-11,18,16,13,13,11,8,82,73,62,1023,1021,1018,10,10,10,21,14,,0.00,4,,130<br />
2014-10-12,19,16,11,15,12,1,97,82,47,1019,1018,1016,10,8,1,14,6,,0.00,5,,71<br />
2014-10-13,22,16,10,14,12,8,94,73,47,1017,1016,1014,10,10,10,14,6,,0.00,6,,340<br />
2014-10-14,25,18,11,16,12,10,94,68,28,1019,1017,1015,10,9,8,21,8,,0.00,,Niebla,340<br />
2014-10-15,27,20,13,15,11,6,88,57,16,1018,1014,1009,10,10,10,27,11,,0.00,8,Tormenta,38<br />
2014-10-16,26,22,18,19,17,13,94,81,58,1011,1008,1006,10,10,8,37,16,,0.00,8,Lluvia-Tormenta,126<br />
2014-10-17,24,19,15,17,13,10,94,70,43,1013,1011,1010,10,9,3,27,11,,0.00,,,126<br />
2014-10-18,21,19,16,18,16,1,94,83,30,1010,1007,1006,10,9,2,26,18,,3.05,8,Lluvia-Tormenta,96<br />
2014-10-19,22,19,16,17,11,7,94,57,30,1016,1013,1009,10,10,10,29,16,,0.00,6,Tormenta,205<br />
2014-10-20,19,16,13,14,11,9,88,67,52,1022,1020,1016,10,10,10,29,18,,0.00,3,,152<br />
2014-10-21,27,19,12,13,12,10,94,63,27,1021,1019,1017,10,10,10,27,14,,0.00,8,,6<br />
2014-10-22,30,21,13,15,12,7,88,55,22,1019,1017,1015,10,10,10,27,14,,0.00,,,360<br />
2014-10-23,28,21,14,20,15,10,83,66,45,1018,1016,1014,10,10,10,19,10,,0.00,,,87<br />
2014-10-24,27,22,16,19,17,15,100,79,39,1017,1015,1014,10,10,10,26,11,,0.00,3,,105<br />
2014-10-25,27,22,17,19,18,17,100,81,59,1015,1014,1012,10,9,3,24,13,,0.00,4,Niebla,59<br />
2014-10-26,31,23,16,20,18,16,100,70,33,1014,1012,1010,10,10,10,26,14,,0.00,4,,13<br />
2014-10-27,33,26,19,21,16,12,88,56,21,1011,1009,1004,10,9,9,27,19,47,0.00,7,Tormenta,16<br />
2014-10-28,23,20,18,21,17,15,88,76,58,1014,1010,1006,10,9,7,37,18,47,0.00,7,Lluvia-Tormenta,136<br />
2014-10-29,20,18,15,18,16,13,94,90,83,1012,1006,1000,10,5,2,47,27,64,23.11,8,Lluvia-Tormenta,101<br />
2014-10-30,22,18,13,15,10,4,94,59,25,1012,1009,1005,10,10,10,27,14,47,3.05,8,,118<br />
2014-10-31,20,16,11,17,13,8,100,78,52,1017,1014,1012,10,10,10,24,8,,0.00,6,,89<br />
2014-11-1,15,14,13,16,10,7,88,70,52,1026,1022,1017,10,10,10,47,31,64,0.00,7,Lluvia,144<br />
2014-11-2,17,15,13,14,11,7,95,75,46,1026,1024,1020,10,8,2,37,32,61,18.03,8,Lluvia,115<br />
2014-11-3,18,16,13,17,16,14,100,95,88,1020,1009,1003,10,4,1,37,26,61,39.88,8,Lluvia,95<br />
2014-11-4,18,15,12,17,10,7,100,69,48,1016,1010,1005,19,10,8,37,29,55,0.00,4,,263<br />
2014-11-5,22,16,10,15,11,9,94,70,37,1019,1017,1016,10,10,10,23,10,,0.00,1,Niebla,44<br />
2014-11-6,23,17,10,18,13,8,94,73,39,1019,1016,1011,10,10,10,24,14,37,0.00,,,65<br />
2014-11-7,26,19,13,18,16,12,100,82,42,1013,1011,1009,10,5,0,27,5,,0.00,2,Niebla,169<br />
2014-11-8,27,19,11,16,10,6,78,53,15,1013,1012,1009,19,11,10,27,16,42,0.00,,,312<br />
2014-11-9,24,18,12,14,11,9,88,59,29,1015,1013,1011,19,11,10,16,11,,0.00,,,101<br />
2014-11-10,29,21,14,21,16,12,94,69,29,1013,1011,1010,19,10,3,19,8,,0.51,7,Lluvia,38<br />
2014-11-11,27,21,15,20,18,15,100,82,64,1012,1009,1007,10,9,8,14,8,,0.51,6,Lluvia,83<br />
2014-11-12,23,19,16,17,13,5,88,66,33,1015,1011,1008,10,10,10,37,13,,0.00,5,,154<br />
2014-11-13,19,16,12,11,8,5,77,59,45,1020,1018,1016,10,10,10,29,18,,0.00,4,,156<br />
2014-11-14,26,17,8,12,8,5,88,57,19,1018,1015,1012,10,9,8,23,11,39,0.00,,,346<br />
2014-11-15,31,23,15,15,11,7,73,46,15,1014,1013,1012,19,13,10,34,19,,0.00,,,321<br />
2014-11-16,22,20,17,18,14,13,88,68,52,1020,1018,1014,19,11,10,23,13,,0.00,,,148<br />
2014-11-17,29,20,11,15,12,9,94,57,22,1021,1018,1014,19,12,10,21,10,,0.00,,,38<br />
2014-11-18,31,23,16,18,15,11,87,57,28,1014,1010,1006,10,10,10,26,19,39,0.00,,,28<br />
2014-11-19,31,24,19,20,17,16,94,73,40,1010,1007,1006,19,11,8,37,18,55,0.00,7,Lluvia,42<br />
2014-11-20,22,17,13,17,16,13,100,80,63,1016,1014,1011,10,10,8,24,11,,0.00,6,Niebla,147<br />
2014-11-21,20,17,14,17,15,13,94,81,62,1018,1013,1008,10,7,2,29,21,48,10.92,7,Lluvia,123<br />
2014-11-22,21,17,14,15,12,8,100,75,33,1011,1009,1003,10,7,1,27,21,42,5.08,6,Lluvia,205<br />
2014-11-23,28,19,11,13,11,9,82,55,27,1012,1010,1008,19,12,10,27,13,,0.00,,,328<br />
2014-11-24,22,18,13,18,14,10,100,80,41,1011,1009,1007,19,7,0,14,11,,7.87,7,Niebla-Lluvia-Tormenta,345<br />
2014-11-25,20,18,16,17,12,10,100,68,47,1015,1013,1011,19,9,1,24,14,,0.00,5,Niebla,148<br />
2014-11-26,21,17,12,13,12,9,94,69,40,1015,1014,1013,19,10,10,24,10,,0.00,2,,118<br />
2014-11-27,26,17,8,18,12,7,100,68,23,1016,1015,1014,10,9,3,16,5,,0.00,1,,133<br />
2014-11-28,29,21,12,17,12,7,88,54,16,1019,1015,1013,19,11,10,21,11,,0.00,8,,27<br />
2014-11-29,32,24,17,22,17,13,82,60,32,1014,1009,1003,19,11,3,37,21,74,0.00,8,Lluvia-Tormenta,32<br />
2014-11-30,22,20,18,21,19,17,100,95,87,1010,1007,1005,10,5,1,37,18,66,20.07,7,Lluvia-Tormenta,107<br />
2014-12-1,20,18,16,17,15,14,94,84,71,1015,1014,1011,10,8,3,29,26,47,0.00,8,Lluvia,159<br />
2014-12-2,19,16,13,18,16,14,97,88,76,1015,1011,1008,10,7,1,24,18,,2.03,8,Lluvia,169<br />
2014-12-3,23,20,16,16,13,8,94,67,24,1012,1009,1007,19,10,2,26,13,,2.03,7,Lluvia,232<br />
2014-12-4,29,21,13,18,13,9,77,56,33,1017,1016,1013,10,10,10,14,8,,0.00,,,350<br />
2014-12-5,31,23,16,18,12,7,77,48,16,1018,1016,1013,10,10,10,24,13,,0.00,,,28<br />
2014-12-6,33,26,18,18,16,15,88,56,27,1014,1011,1008,19,14,10,24,18,39,0.00,,,18<br />
2014-12-7,28,23,18,21,18,16,100,76,46,1011,1008,1006,10,9,2,34,14,,6.10,6,Lluvia-Tormenta,9<br />
2014-12-8,26,20,14,20,18,15,100,83,58,1012,1011,1010,10,5,0,14,5,,0.00,6,Niebla,160<br />
2014-12-9,29,23,17,24,20,18,89,79,64,1010,1007,1002,19,9,3,16,8,,1.02,6,Lluvia-Tormenta,63<br />
2014-12-10,23,20,17,20,16,-2,94,74,14,1016,1008,1002,19,9,2,35,19,50,7.87,6,Lluvia-Tormenta,200<br />
2014-12-11,21,16,11,13,11,9,73,59,45,1020,1018,1017,10,10,10,23,16,,0.00,2,,133<br />
2014-12-12,24,19,15,16,13,11,88,64,40,1018,1014,1011,10,10,10,23,10,,0.00,2,,90<br />
2014-12-13,26,21,15,19,16,12,94,71,45,1016,1012,1011,10,10,10,32,14,,0.00,6,,216<br />
2014-12-14,22,20,18,13,11,10,68,57,37,1019,1018,1015,10,10,10,24,18,,0.00,2,,133<br />
2014-12-15,27,20,14,17,12,9,77,61,39,1019,1017,1015,10,10,10,27,13,,0.00,1,,55<br />
2014-12-16,24,21,19,19,17,15,88,75,60,1017,1015,1013,10,10,10,23,14,,0.00,6,Lluvia,66<br />
2014-12-17,26,22,18,20,18,16,100,84,57,1013,1011,1010,10,7,0,21,5,,0.00,4,Niebla,194<br />
2014-12-18,27,22,17,17,15,12,83,59,32,1012,1011,1008,10,10,10,16,11,,0.00,,,154<br />
2014-12-19,34,26,18,13,11,7,73,42,20,1008,1004,1001,10,10,10,29,18,52,0.00,1,,342<br />
2014-12-20,28,23,19,20,16,11,94,66,42,1004,1002,1000,10,9,5,29,18,,3.05,5,Lluvia,24<br />
2014-12-21,21,18,16,18,14,9,88,75,51,1009,1005,1002,10,8,1,42,26,64,0.00,6,Lluvia,170<br />
2014-12-22,21,16,12,13,10,5,94,63,29,1021,1015,1010,10,9,7,32,14,50,2.03,5,Lluvia-Tormenta,244<br />
2014-12-23,24,17,10,12,8,3,87,53,23,1023,1021,1018,10,10,10,19,6,,0.00,2,,298<br />
2014-12-24,28,20,12,12,10,9,82,51,22,1019,1016,1013,10,10,10,27,14,,0.00,,,5<br />
2014-12-25,32,24,18,21,17,10,88,63,25,1015,1013,1011,10,10,10,27,16,37,0.00,4,,42<br />
2014-12-26,31,25,19,23,20,18,100,79,49,1014,1012,1011,19,10,0,27,13,,62.99,8,Lluvia-Tormenta,20<br />
2014-12-27,26,22,18,22,20,17,100,86,73,1011,1010,1009,10,10,10,16,8,,0.00,6,,156<br />
2014-12-28,27,23,20,22,21,20,100,82,61,1010,1009,1007,19,9,3,16,8,,0.00,4,Niebla,129<br />
2014-12-29,31,25,19,23,21,19,94,79,48,1009,1008,1005,19,10,3,19,10,,0.00,2,,62<br />
2014-12-30,29,26,23,22,19,18,83,68,48,1006,1005,1003,10,10,10,26,13,,0.00,6,,109<br />
2014-12-31,30,25,20,22,19,16,100,78,51,1005,1003,1001,10,8,0,42,10,77,16.00,6,Lluvia-Tormenta,39<br />
