
CST,Temperatura máximaC,Temperatura mediaC,Temperatura mínimaC,Punto de rocíoC,MeanDew PointC,Min DewpointC,Max Humedad, Mean Humedad, Min Humedad, Max Presión al nivel del marhPa, Mean Presión al nivel del marhPa, Min Presión al nivel del marhPa, Max VisibilidadKm, Mean VisibilidadKm, Min VisibilidadkM, Max Velocidad del vientoKm/h, Mean Velocidad del vientoKm/h, Max Velocidad de ráfagasKm/h,Precipitaciónmm, CloudCover, Eventos,WindDirDegrees<br />
2014-8-6,23,17,12,13,9,6,88,66,33,1030,1026,1010,19,13,8,26,8,,8.89,6,Lluvia-Tormenta,65<br />
2014-8-7,27,20,13,15,12,9,94,75,46,1030,1025,1010,18,11,6,24,8,48,175.26,8,Lluvia-Tormenta,269<br />
2014-8-8,20,17,14,13,11,9,88,71,49,1029,1024,1010,19,12,6,24,8,,8.89,6,Lluvia-Tormenta,211<br />
2014-8-9,24,18,12,12,10,7,88,64,34,1030,1024,1009,19,12,8,34,8,,0.00,4,,52<br />
2014-8-10,25,19,14,12,11,8,88,63,34,1029,1023,1006,24,11,8,45,11,,0.00,6,Lluvia,41<br />
2014-8-11,23,18,14,14,11,9,88,64,46,1029,1024,1009,24,14,6,34,10,53,0.00,7,Lluvia-Tormenta,350<br />
2014-8-12,23,18,14,13,12,1,94,73,28,1030,1025,1009,16,9,5,24,10,,20.32,8,Lluvia-Tormenta,8<br />
2014-8-13,23,18,13,12,11,7,82,66,36,1030,1023,1009,16,12,6,45,11,,52.07,6,Lluvia,31<br />
2014-8-14,23,18,14,12,11,9,88,67,41,1030,1024,1009,23,13,8,29,10,,13.97,6,Lluvia-Tormenta,342<br />
2014-8-15,26,19,12,13,11,8,88,68,34,1030,1024,1008,23,10,2,35,8,72,26.67,6,Lluvia-Tormenta,66<br />
2014-8-16,23,19,15,12,11,7,82,63,36,1029,1023,1007,24,16,8,21,6,,0.00,6,,102<br />
2014-8-17,25,19,13,13,11,5,88,64,28,1029,1024,1006,24,12,2,37,11,55,39.37,6,Lluvia-Tormenta,42<br />
2014-8-18,21,17,14,12,12,10,88,74,52,1029,1024,1008,19,11,8,29,10,40,49.53,7,Lluvia-Tormenta,134<br />
2014-8-19,22,18,14,13,12,8,94,71,41,1028,1023,1007,23,12,5,23,6,,64.77,6,Lluvia-Tormenta,24<br />
2014-8-20,24,19,14,13,11,8,88,64,38,1029,1023,1007,19,11,8,23,10,34,0.00,7,Lluvia-Tormenta,351<br />
2014-8-21,23,18,13,12,9,7,82,60,36,1029,1023,1009,19,11,8,26,11,,0.00,6,,56<br />
2014-8-22,21,16,12,11,7,5,72,55,35,1029,1024,1009,19,14,10,23,10,,0.00,7,,316<br />
2014-8-23,24,18,13,12,11,7,88,67,34,1028,1022,1005,19,12,5,45,11,52,96.52,6,Lluvia-Tormenta,106<br />
2014-8-24,24,18,13,12,11,8,88,66,36,1027,1022,1006,24,14,10,27,8,,0.00,6,Tormenta,55<br />
2014-8-25,24,19,14,12,10,7,82,61,34,1027,1021,1006,24,14,8,40,11,50,0.00,6,Lluvia,36<br />
2014-8-26,25,19,13,11,9,5,82,56,29,1028,1023,1006,19,14,10,39,11,,0.00,4,,40<br />
2014-8-27,25,19,13,12,9,6,82,57,29,1029,1023,1007,24,14,10,27,10,,0.00,4,,37<br />
2014-8-28,25,20,15,11,9,7,68,53,34,1028,1022,1004,24,15,11,26,11,,0.00,2,,26<br />
2014-8-29,26,19,13,11,9,4,82,56,27,1026,1019,1002,24,14,10,27,10,,0.00,4,,33<br />
2014-8-30,24,20,16,14,11,9,82,64,38,1026,1021,1003,19,12,8,27,11,,19.05,6,Lluvia,8<br />
2014-8-31,26,20,14,16,13,9,94,76,36,1027,1022,1005,19,11,2,40,10,53,19.05,7,Lluvia-Tormenta,289<br />
2014-9-1,24,19,15,14,12,10,88,71,41,1027,1021,1005,19,13,10,26,10,37,13.97,7,Lluvia-Tormenta,44<br />
2014-9-2,23,18,14,13,12,1,94,72,36,1027,1021,1004,16,10,5,34,10,52,115.57,6,Lluvia-Tormenta,163<br />
2014-9-3,21,17,13,14,13,10,94,79,60,1026,1020,1004,19,9,1,32,10,48,0.00,8,Lluvia-Tormenta,82<br />
2014-9-4,23,18,14,13,12,11,88,71,50,1028,1022,1007,24,15,8,24,11,35,3.81,7,Lluvia,93<br />
2014-9-5,24,19,14,14,12,9,94,71,38,1030,1024,1008,19,10,6,39,8,,13.97,6,Lluvia-Tormenta,42<br />
2014-9-6,24,19,14,12,10,6,88,64,31,1028,1022,1006,18,13,8,19,10,,0.00,6,,43<br />
2014-9-7,21,17,13,10,9,8,77,60,43,1028,1022,1007,19,19,16,35,14,35,0.00,5,,356<br />
2014-9-8,21,17,14,13,10,8,77,64,49,1028,1022,1008,24,16,10,21,11,,0.00,6,Lluvia,9<br />
2014-9-9,23,18,14,15,12,10,88,71,44,1028,1023,1008,19,13,10,27,10,,10.16,7,Lluvia-Tormenta,344<br />
2014-9-10,23,18,13,14,13,11,94,76,50,1026,1020,1003,16,11,1,37,8,,19.05,6,Lluvia-Tormenta,56<br />
2014-9-11,25,19,14,13,12,9,88,69,38,1025,1020,1001,19,12,5,27,10,34,16.51,6,Lluvia-Tormenta,42<br />
2014-9-12,22,18,14,14,12,9,94,74,43,1025,1019,1003,19,11,8,23,10,40,118.11,7,Lluvia,317<br />
2014-9-13,22,18,14,13,12,11,94,74,50,1026,1020,1005,16,9,5,14,8,,0.00,7,,48<br />
2014-9-14,21,18,15,13,12,10,88,72,52,1029,1021,1008,19,11,8,23,8,,0.00,7,,329<br />
2014-9-15,22,17,13,11,10,9,82,64,46,1029,1023,1009,24,18,11,26,11,,0.00,4,,337<br />
2014-9-16,20,18,15,12,10,9,77,65,52,1029,1023,1008,19,17,11,21,11,29,0.00,7,Lluvia,22<br />
2014-9-17,24,20,16,12,9,8,77,57,36,1028,1022,1007,24,20,8,27,11,35,0.00,5,,159<br />
2014-9-18,26,20,14,11,9,6,77,55,28,1027,1021,1005,24,23,16,37,8,42,0.00,2,,134<br />
2014-9-19,25,19,13,13,10,8,82,61,34,1027,1022,1006,24,15,10,34,8,42,6.35,4,Lluvia-Tormenta,89<br />
2014-9-20,24,17,11,12,10,8,88,64,36,1028,1021,1006,23,13,8,26,6,,0.00,5,,45<br />
2014-9-21,23,18,14,13,12,10,88,67,44,1028,1022,1005,18,12,10,40,11,40,1.27,7,Lluvia-Tormenta,37<br />
2014-9-22,23,18,14,14,12,10,88,71,44,1028,1023,1006,16,10,2,29,11,47,90.17,6,Lluvia-Tormenta,36<br />
2014-9-23,23,19,15,14,11,9,82,67,41,1028,1022,1007,24,15,5,52,13,45,6.35,6,Lluvia-Tormenta,8<br />
2014-9-24,23,18,14,12,11,9,82,66,41,1029,1022,1006,24,17,10,23,11,,0.00,6,,21<br />
2014-9-25,24,19,14,11,9,8,77,58,36,1029,1023,1005,19,15,10,26,11,,0.00,5,,7<br />
2014-9-26,23,19,15,12,11,9,77,59,41,1027,1021,1003,24,16,10,32,11,,0.00,6,,5<br />
2014-9-27,25,20,16,13,11,8,82,61,34,1026,1020,1002,19,15,11,24,10,,0.00,7,Lluvia,6<br />
2014-9-28,22,19,16,14,12,10,77,67,46,1027,1020,1005,24,16,6,26,11,32,13.97,6,Lluvia-Tormenta,360<br />
2014-9-29,23,19,16,14,12,11,88,72,47,1025,1019,1006,24,16,6,32,13,40,327.66,7,Lluvia-Tormenta,5<br />
2014-9-30,24,19,15,13,12,8,88,69,41,1025,1019,1001,19,14,10,23,10,29,0.00,7,,73<br />
2014-10-1,24,19,14,14,11,9,88,62,38,1025,1017,1001,24,17,10,27,10,,0.00,5,Tormenta,118<br />
2014-10-2,25,19,14,15,12,11,94,68,41,1027,1021,1004,24,14,3,29,11,,77.47,6,Lluvia-Tormenta,122<br />
2014-10-3,22,18,15,14,13,10,94,77,46,1029,1025,1009,16,11,5,23,10,,0.00,7,Lluvia-Tormenta,53<br />
2014-10-4,22,17,13,13,12,1,100,76,32,1030,1024,1008,13,10,6,32,10,,186.69,7,Lluvia-Tormenta,17<br />
2014-10-5,22,17,12,13,11,9,94,72,43,1028,1022,1006,11,9,2,26,8,40,21.59,7,Lluvia-Tormenta,125<br />
2014-10-6,22,18,14,13,12,9,88,72,43,1028,1022,1007,16,12,8,23,8,,6.35,7,Lluvia,332<br />
2014-10-7,23,18,14,12,8,3,88,61,27,1029,1023,1007,24,17,10,35,11,27,0.00,5,Lluvia,20<br />
2014-10-8,24,17,10,12,7,5,77,57,29,1029,1023,1008,24,17,11,27,10,40,3.81,2,Lluvia,44<br />
2014-10-9,24,19,14,13,11,7,82,63,38,1027,1021,1005,19,13,8,32,11,,6.35,6,Lluvia-Tormenta,42<br />
2014-10-10,23,18,13,13,11,1,94,72,41,1027,1022,1005,16,8,3,39,10,39,119.38,6,Lluvia-Tormenta,47<br />
2014-10-11,23,17,12,13,11,8,94,77,41,1027,1023,1006,13,7,5,34,10,,77.47,6,Lluvia-Tormenta,52<br />
2014-10-12,22,17,12,12,11,9,94,74,46,1028,1023,1009,13,8,4,23,5,34,0.00,4,Lluvia-Tormenta,72<br />
2014-10-13,24,18,12,12,11,8,94,66,36,1027,1021,1006,16,10,6,19,8,,0.00,2,,51<br />
2014-10-14,18,16,12,11,9,6,77,67,55,1030,1024,1009,24,16,11,27,13,,0.00,5,,346<br />
2014-10-15,22,14,8,9,7,5,87,63,41,1030,1025,1011,24,13,10,23,8,,0.00,5,,31<br />
2014-10-16,23,17,10,11,9,8,88,69,41,1028,1023,1000,24,13,8,35,10,,0.00,5,,57<br />
2014-10-17,23,18,13,13,11,9,88,69,41,1027,1021,1005,19,10,6,21,10,,67.31,5,Lluvia-Tormenta,68<br />
2014-10-18,20,17,14,17,13,12,100,81,60,1025,1020,1006,19,9,2,24,10,,13.97,8,Lluvia-Tormenta,349<br />
2014-10-19,20,17,14,14,12,1,94,74,36,1025,1020,1005,24,15,8,23,10,,21.59,8,Lluvia,345<br />
2014-10-20,20,17,14,14,12,11,94,81,64,1024,1019,1006,24,13,3,23,10,,54.61,7,Lluvia,344<br />
2014-10-21,20,17,13,12,11,9,88,70,52,1025,1020,1006,24,17,11,26,10,,0.00,7,,16<br />
2014-10-22,23,18,14,11,11,9,82,65,41,1027,1021,1005,24,19,10,29,13,,0.00,6,,340<br />
2014-10-23,21,17,13,10,9,8,82,63,46,1029,1023,1009,24,19,0,27,11,,0.00,5,,19<br />
2014-10-24,21,17,13,10,8,7,77,61,46,1031,1025,1011,24,21,16,27,13,,0.00,5,,9<br />
2014-10-25,22,17,12,10,7,0,88,58,23,1031,1025,1010,19,14,5,27,11,,26.67,4,Lluvia,1<br />
2014-10-26,22,16,9,8,6,2,82,59,27,1029,1023,1008,19,13,6,19,11,,0.00,4,,66<br />
2014-10-27,23,16,8,11,7,1,87,58,23,1027,1021,1007,16,11,8,14,10,,0.00,1,,68<br />
2014-10-28,27,18,10,9,4,-3,76,46,15,1028,1022,1006,19,13,8,27,10,,0.00,0,,34<br />
2014-10-29,24,16,7,8,1,-7,72,43,13,1029,1024,1009,19,13,5,29,10,,0.00,0,,39<br />
2014-10-30,22,13,6,9,7,6,100,71,35,1029,1025,1010,19,7,0,27,11,,0.00,2,Niebla,45<br />
2014-10-31,19,14,10,8,6,3,87,62,35,1031,1025,1011,24,13,6,32,11,,0.00,6,,11<br />
2014-11-1,18,13,8,7,6,3,76,60,45,1032,1027,1013,24,20,13,24,13,,0.00,4,,348<br />
2014-11-2,22,16,9,8,6,2,82,57,28,1032,1026,1012,24,17,10,19,10,,0.00,5,,29<br />
2014-11-3,23,16,8,9,6,1,87,61,25,1030,1025,1008,19,13,8,16,10,,0.00,2,,63<br />
2014-11-4,25,18,10,9,6,-7,94,59,14,1029,1023,1006,24,11,2,27,8,,0.00,4,,104<br />
2014-11-5,25,18,12,9,7,1,77,51,24,1028,1022,1006,24,22,16,29,6,40,0.00,3,,140<br />
2014-11-6,26,19,12,9,7,0,77,53,19,1030,1024,1008,16,13,6,19,8,,0.00,1,,44<br />
2014-11-7,23,17,10,11,9,7,82,61,36,1029,1023,1008,13,8,6,27,8,,0.00,1,,93<br />
2014-11-8,22,18,14,11,9,7,82,61,41,1028,1021,1006,19,12,6,24,8,,3.81,4,Lluvia,48<br />
2014-11-9,19,14,10,8,6,4,72,58,40,1030,1024,1009,24,14,10,23,13,,0.00,6,,14<br />
2014-11-10,23,16,8,10,7,4,81,62,31,1027,1022,1007,16,12,10,24,10,,0.00,6,,97<br />
2014-11-11,23,17,12,12,10,7,88,67,36,1026,1021,1006,16,10,8,23,6,,11.43,6,Lluvia,119<br />
2014-11-12,23,18,13,12,11,8,94,68,41,1027,1022,1006,24,13,8,26,8,45,0.00,5,,91<br />
2014-11-13,21,17,13,11,9,5,88,67,35,1029,1024,1008,16,9,5,26,10,,3.81,6,Lluvia,51<br />
2014-11-14,21,16,10,12,9,6,94,68,38,1030,1024,1008,13,9,3,26,10,34,21.59,5,Lluvia-Tormenta,62<br />
2014-11-15,23,18,13,11,9,6,88,64,33,1030,1023,1007,11,9,8,16,6,37,0.00,4,,77<br />
2014-11-16,23,18,14,10,9,6,72,56,36,1029,1022,1005,19,13,8,26,6,35,0.00,3,,138<br />
2014-11-17,23,17,11,9,7,5,77,55,31,1029,1023,1006,24,16,10,29,6,,0.00,1,,131<br />
2014-11-18,22,17,13,10,9,6,82,62,38,1030,1024,1009,24,17,10,24,8,,0.00,5,,64<br />
2014-11-19,22,16,10,10,8,7,88,64,38,1030,1025,1010,16,10,6,27,8,53,1.27,5,Lluvia,84<br />
2014-11-20,20,16,11,9,8,7,88,66,43,1030,1024,1010,13,10,8,26,8,,0.00,7,,32<br />
2014-11-21,20,16,11,10,9,6,88,65,40,1029,1023,1008,16,9,6,24,6,,0.00,6,,59<br />
2014-11-22,24,18,13,11,9,7,77,58,34,1028,1022,1006,24,13,6,27,8,27,0.00,4,,179<br />
2014-11-23,26,18,11,10,6,-3,82,51,15,1026,1020,1003,24,19,8,26,6,40,0.00,0,,117<br />
2014-11-24,23,17,10,9,8,2,82,57,25,1027,1021,1006,19,14,10,23,6,,0.00,5,,126<br />
2014-11-25,24,17,10,10,7,3,77,56,27,1032,1023,1007,19,15,10,34,8,,0.00,6,,48<br />
2014-11-26,21,13,6,5,-4,-16,87,42,7,1032,1027,1014,24,17,10,29,11,,0.00,0,,30<br />
2014-11-27,20,11,3,-3,-11,-17,45,25,8,1033,1028,1014,24,19,16,23,10,,0.00,1,,9<br />
2014-11-28,21,12,3,4,0,-3,81,49,25,1031,1026,1014,24,13,10,21,8,,0.00,2,,74<br />
2014-11-29,22,13,6,6,4,1,87,57,25,1028,1023,1009,14,10,8,27,8,,0.00,3,,85<br />
2014-11-30,23,14,7,6,3,0,81,49,23,1029,1023,1007,13,10,6,19,6,,0.00,0,,46<br />
2014-12-1,23,16,8,5,2,-3,76,47,18,1030,1025,1009,19,12,8,29,10,,0.00,0,,43<br />
2014-12-2,20,14,9,6,3,-2,82,53,23,1032,1026,1011,16,13,8,29,11,,0.00,3,,14<br />
2014-12-3,22,13,6,7,3,-4,81,56,20,1029,1023,1008,13,10,8,16,10,,0.00,1,,55<br />
2014-12-4,21,14,8,7,4,0,87,56,25,1029,1023,1010,10,8,5,14,8,,0.00,2,,60<br />
2014-12-5,23,14,7,5,2,-3,71,46,18,1030,1025,1010,13,9,6,24,6,,0.00,0,,64<br />
2014-12-6,22,14,8,6,4,2,71,52,29,1032,1027,1012,19,10,6,23,8,,0.00,1,,41<br />
2014-12-7,21,13,6,6,4,2,93,61,28,1033,1027,1013,24,13,1,27,11,,0.00,1,Niebla,25<br />
2014-12-8,20,13,6,6,4,0,93,58,26,1031,1026,1013,24,14,8,29,10,,0.00,2,,2<br />
2014-12-9,20,13,7,6,4,-2,81,58,23,1031,1026,1013,24,17,11,23,11,,0.00,4,,17<br />
2014-12-10,19,13,8,6,5,3,87,61,35,1029,1023,1010,19,11,8,16,10,,0.00,6,,41<br />
2014-12-11,18,13,8,7,6,3,93,64,37,1029,1024,1012,16,9,5,16,8,,0.00,6,,45<br />
2014-12-12,18,14,10,7,6,5,82,62,42,1031,1026,1012,16,10,6,21,10,,0.00,7,,32<br />
2014-12-13,21,16,10,8,7,5,82,61,35,1029,1023,1008,16,10,8,24,8,,0.00,5,,99<br />
2014-12-14,20,16,12,9,8,5,82,60,37,1027,1021,1007,16,10,6,16,8,35,0.00,4,,105<br />
2014-12-15,22,16,11,8,7,3,76,56,29,1027,1022,1007,16,11,8,23,6,,0.00,4,,99<br />
2014-12-16,22,16,9,8,6,5,76,57,35,1031,1025,1011,16,10,8,27,8,,0.00,4,,97<br />
2014-12-17,22,16,9,9,7,6,87,62,35,1030,1025,1009,11,9,6,23,10,,0.00,3,,86<br />
2014-12-18,24,17,9,8,7,2,82,58,24,1029,1023,1007,13,8,6,24,8,,0.00,0,,109<br />
2014-12-19,24,17,11,8,6,0,71,49,21,1028,1021,1005,16,11,6,32,10,,0.00,1,,160<br />
2014-12-20,23,16,9,9,6,4,82,55,29,1028,1022,1006,19,11,6,26,8,,0.00,3,,104<br />
2014-12-21,24,17,11,6,3,-4,67,44,15,1028,1022,1007,24,17,11,27,8,37,0.00,6,,142<br />
2014-12-22,20,16,12,5,3,0,62,45,26,1025,1019,1004,19,16,11,26,8,,0.00,8,,164<br />
2014-12-23,19,16,13,5,3,1,55,44,32,1022,1016,1002,24,20,16,29,11,42,3.81,8,,211<br />
2014-12-24,14,11,8,10,8,6,100,83,59,1027,1020,1006,24,11,3,19,11,,144.78,8,Lluvia,85<br />
2014-12-25,18,13,8,8,6,4,93,72,42,1027,1023,1011,24,17,6,32,10,45,35.56,5,Lluvia,145<br />
2014-12-26,21,16,11,8,7,6,77,59,38,1028,1022,1008,24,22,19,35,13,37,0.00,4,,149<br />
2014-12-27,24,17,10,8,7,1,87,56,23,1030,1024,1007,24,16,10,23,5,,0.00,3,,151<br />
2014-12-28,22,16,10,9,7,3,82,56,29,1029,1024,1008,19,13,10,23,5,,0.00,3,,147<br />
2014-12-29,23,16,8,8,6,4,81,56,29,1030,1024,1009,19,14,10,24,6,,0.00,2,,82<br />
2014-12-30,24,17,9,9,6,2,82,55,25,1031,1025,1009,11,9,6,21,6,,0.00,1,,78<br />
2014-12-31,21,14,8,8,7,5,100,71,38,1031,1026,1012,11,5,0,14,8,,0.00,1,Niebla,74<br />
