
PYST,Temperatura máximaC,Temperatura mediaC,Temperatura mínimaC,Punto de rocíoC,MeanDew PointC,Min DewpointC,Max Humedad, Mean Humedad, Min Humedad, Max Presión al nivel del marhPa, Mean Presión al nivel del marhPa, Min Presión al nivel del marhPa, Max VisibilidadKm, Mean VisibilidadKm, Min VisibilidadkM, Max Velocidad del vientoKm/h, Mean Velocidad del vientoKm/h, Max Velocidad de ráfagasKm/h,Precipitaciónmm, CloudCover, Eventos,WindDirDegrees<br />
2014-8-9,21,17,12,17,14,11,94,82,64,1021,1017,1013,10,9,6,13,2,,0.00,7,,88<br />
2014-8-10,29,22,14,18,16,13,94,67,27,1014,1012,1009,19,11,8,24,11,,0.00,6,,57<br />
2014-8-11,29,23,18,20,17,14,88,68,44,1013,1011,1009,19,11,6,13,3,,0.00,4,Tormenta,80<br />
2014-8-12,25,20,16,19,16,8,100,78,52,1023,1015,1012,19,11,8,35,19,55,3.05,5,Lluvia,190<br />
2014-8-13,18,14,10,7,3,-1,71,43,18,1030,1028,1023,19,16,10,35,26,,0.00,6,,175<br />
2014-8-14,21,16,10,17,6,2,87,55,23,1027,1023,1014,19,15,7,23,11,,0.00,,,136<br />
2014-8-15,22,16,9,15,12,5,83,63,45,1022,1020,1018,19,11,6,23,11,,0.00,6,,76<br />
2014-8-16,29,22,16,19,17,14,94,72,42,1021,1019,1017,19,10,6,10,3,,0.00,3,,90<br />
2014-8-17,28,23,18,19,18,17,94,79,43,1023,1020,1018,19,9,6,16,3,,0.00,5,Tormenta,249<br />
2014-8-18,30,23,16,19,17,16,100,73,33,1022,1019,1016,19,8,4,8,2,,0.00,1,,196<br />
2014-8-19,31,24,17,20,18,15,88,69,32,1020,1018,1016,19,10,6,11,3,,0.00,,,62<br />
2014-8-20,31,26,20,19,17,14,94,60,32,1019,1017,1015,19,13,6,21,11,,0.00,,,63<br />
2014-8-21,31,25,19,16,13,11,78,50,22,1016,1014,1011,19,13,6,21,10,,0.00,,,51<br />
2014-8-22,33,26,19,20,16,13,83,55,26,1013,1011,1008,19,13,7,19,5,,0.00,4,,58<br />
2014-8-23,33,28,23,19,16,14,73,46,24,1010,1007,1004,19,16,10,26,18,,0.00,2,,36<br />
2014-8-24,34,27,19,20,17,14,78,51,23,1010,1005,1001,19,13,6,39,18,58,0.00,6,,8<br />
2014-8-25,26,18,10,15,9,4,82,60,29,1021,1015,1010,19,12,6,39,27,58,0.00,6,,190<br />
2014-8-26,21,14,8,8,6,2,93,59,17,1023,1021,1019,19,13,7,24,8,,0.00,,,200<br />
2014-8-27,21,13,6,7,4,1,67,43,18,1023,1019,1016,19,13,6,16,6,,0.00,,,158<br />
2014-8-28,23,16,9,8,6,3,76,51,23,1020,1017,1015,19,11,8,14,6,,0.00,,,166<br />
2014-8-29,28,19,9,13,8,6,87,53,20,1017,1015,1013,19,9,3,10,2,,0.00,,,110<br />
2014-8-30,33,24,16,20,16,11,77,55,31,1014,1011,1008,19,10,4,23,8,,0.51,5,Tormenta,56<br />
2014-8-31,28,24,21,21,19,18,88,72,49,1012,1010,1008,19,11,5,23,11,37,2.03,5,Lluvia-Tormenta,94<br />
2014-9-1,33,27,20,22,19,16,74,61,41,1010,1007,1003,19,15,9,19,11,,0.00,1,,72<br />
2014-9-2,35,29,23,23,21,19,78,59,29,1009,1005,1002,19,13,9,24,14,,0.00,3,,61<br />
2014-9-3,34,28,23,22,19,17,78,56,34,1011,1009,1007,19,14,9,16,10,,0.00,2,,109<br />
2014-9-4,28,24,21,21,20,18,94,74,52,1015,1011,1009,19,11,5,32,18,50,7.87,6,Lluvia-Tormenta,67<br />
2014-9-5,30,26,21,19,16,13,73,55,36,1014,1011,1004,19,18,10,35,23,53,0.00,1,Tormenta,60<br />
2014-9-6,33,27,21,22,18,14,94,66,32,1014,1011,1008,19,11,2,37,19,64,9.91,7,Lluvia-Tormenta,53<br />
2014-9-7,27,23,19,21,19,18,100,85,56,1017,1015,1013,19,12,10,14,6,,0.00,5,Tormenta,143<br />
2014-9-8,30,24,19,22,21,19,100,75,52,1016,1013,1010,19,19,19,21,11,,0.00,,,61<br />
2014-9-9,34,29,24,19,18,16,73,51,24,1010,1006,1002,19,19,19,35,19,47,0.00,,,40<br />
2014-9-10,31,23,17,20,18,13,83,60,42,1012,1007,1003,19,13,10,32,19,,0.00,5,,334<br />
2014-9-11,20,17,14,17,15,13,94,84,59,1016,1014,1012,19,12,10,26,16,,1.02,8,Lluvia,201<br />
2014-9-12,27,21,15,20,18,16,100,83,52,1015,1013,1010,19,10,5,13,6,,0.00,8,,339<br />
2014-9-13,34,26,17,21,18,14,100,58,28,1014,1010,1008,19,11,5,23,8,,0.00,,,88<br />
2014-9-14,32,24,18,21,17,14,88,60,35,1017,1011,1008,19,13,10,32,14,,0.00,6,,39<br />
2014-9-15,23,18,14,14,12,8,94,70,29,1021,1019,1017,19,13,10,29,16,40,0.00,5,,204<br />
2014-9-16,25,18,11,13,12,9,94,64,27,1020,1016,1013,19,12,8,14,6,,0.00,1,,126<br />
2014-9-17,29,22,16,17,14,11,88,56,32,1015,1013,1010,19,11,7,14,8,,0.00,6,,176<br />
2014-9-18,24,22,20,20,18,16,100,80,65,1012,1010,1007,19,11,6,27,14,50,3.05,7,Lluvia-Tormenta,129<br />
2014-9-19,22,20,18,21,19,18,100,93,76,1013,1010,1007,19,10,3,27,11,45,6.10,5,Lluvia-Tormenta,184<br />
2014-9-20,26,22,18,19,16,11,100,72,33,1020,1016,1012,19,9,0,200,16,,0.00,3,Niebla,198<br />
2014-9-21,26,19,12,14,11,7,94,59,20,1021,1019,1016,19,13,9,21,6,,0.00,,,147<br />
2014-9-22,28,20,12,14,12,9,88,53,23,1016,1013,1009,19,14,8,21,10,,0.00,,,60<br />
2014-9-23,32,25,18,20,17,13,68,54,32,1011,1008,1005,19,14,8,27,13,39,4.06,6,Tormenta,59<br />
2014-9-24,28,24,20,22,21,19,100,86,58,1013,1011,1005,19,11,5,29,13,48,4.06,6,Lluvia-Tormenta,122<br />
2014-9-25,29,24,19,23,21,18,94,80,66,1011,1007,1004,19,12,8,19,10,,0.00,6,,60<br />
2014-9-26,26,23,21,22,21,18,97,86,69,1012,1009,1005,19,11,2,32,11,,12.95,6,Lluvia-Tormenta,169<br />
2014-9-27,24,20,17,22,19,17,94,86,74,1014,1012,1010,19,11,5,24,13,,0.76,8,Lluvia,135<br />
2014-9-28,31,26,20,24,22,21,94,77,54,1011,1008,1004,19,12,10,24,14,,0.00,5,Tormenta,50<br />
2014-9-29,33,28,23,25,23,22,89,69,47,1008,1006,1003,19,13,10,24,13,,0.00,5,,38<br />
2014-9-30,36,30,24,25,22,19,89,71,40,1011,1006,1002,19,12,7,47,19,61,3.05,6,Lluvia-Tormenta,45<br />
2014-10-1,26,23,20,25,21,18,100,80,49,1018,1013,1002,19,11,6,47,18,61,0.00,6,Lluvia-Tormenta,175<br />
2014-10-2,30,24,18,22,19,18,94,73,46,1020,1018,1016,19,15,10,16,11,,0.00,3,,142<br />
2014-10-3,28,24,21,20,16,12,78,57,32,1020,1017,1014,19,16,10,27,14,,0.00,6,,76<br />
2014-10-4,29,24,21,16,14,13,64,51,33,1015,1012,1008,19,19,19,34,21,53,0.00,,,63<br />
2014-10-5,28,24,21,17,14,11,57,48,32,1015,1013,1010,19,13,10,35,23,,0.00,6,,55<br />
2014-10-6,27,23,19,18,16,15,83,64,44,1016,1014,1012,19,12,8,29,18,,0.76,7,Lluvia-Tormenta,53<br />
2014-10-7,29,23,18,20,18,16,94,74,46,1016,1014,1011,19,16,10,14,8,,0.00,1,,143<br />
2014-10-8,35,28,21,21,19,17,83,55,29,1013,1009,1005,19,18,10,21,8,,0.00,,,59<br />
2014-10-9,36,31,25,19,17,15,58,44,24,1008,1006,1003,19,19,19,29,18,,0.00,,,42<br />
2014-10-10,32,26,19,22,17,14,88,59,28,1014,1010,1006,19,13,10,47,16,74,0.00,6,,164<br />
2014-10-11,24,20,16,18,16,14,94,82,60,1017,1015,1013,19,11,7,26,18,,0.00,8,Lluvia,189<br />
2014-10-12,31,24,17,22,20,18,100,77,47,1015,1013,1011,19,10,5,23,10,,0.00,7,,176<br />
2014-10-13,32,26,20,23,21,19,94,73,47,1013,1011,1009,19,16,10,27,13,,0.00,4,,181<br />
2014-10-14,33,27,21,23,21,19,94,70,39,1015,1012,1010,19,14,9,24,11,,0.00,5,,166<br />
2014-10-15,39,31,23,25,22,20,89,60,29,1012,1009,1005,19,19,14,24,10,,0.00,,,46<br />
2014-10-16,42,35,28,26,20,17,55,41,24,1009,1006,1003,19,18,14,29,18,42,0.00,,,32<br />
2014-10-17,42,34,26,22,19,14,70,42,15,1007,1005,1002,19,17,10,26,16,,0.00,,,17<br />
2014-10-18,40,34,28,26,21,17,62,45,18,1008,1003,1000,19,12,9,29,18,,0.00,1,,21<br />
2014-10-19,33,29,25,23,20,17,77,59,40,1014,1009,1003,19,11,7,37,18,55,3.05,5,Lluvia-Tormenta,113<br />
2014-10-20,31,26,21,23,19,14,97,65,32,1017,1015,1012,19,12,10,19,8,,3.05,5,Lluvia-Tormenta,145<br />
2014-10-21,33,26,18,13,8,0,64,33,5,1018,1016,1014,19,18,11,16,11,,0.00,,,141<br />
2014-10-22,33,27,20,18,14,11,64,45,24,1016,1015,1013,19,16,6,19,10,,0.00,1,,92<br />
2014-10-23,33,26,18,19,16,12,70,46,24,1015,1013,1009,19,14,8,14,8,,0.00,6,,86<br />
2014-10-24,35,28,21,21,17,9,78,50,13,1013,1011,1008,19,12,6,14,5,,0.00,3,,153<br />
2014-10-25,36,28,21,21,18,14,88,56,20,1012,1010,1007,19,10,6,11,3,,0.00,1,,88<br />
2014-10-26,35,28,21,23,20,17,88,59,30,1011,1009,1007,19,11,8,16,5,,0.00,2,,41<br />
2014-10-27,36,31,25,22,20,18,74,53,26,1011,1009,1007,19,14,10,27,13,,0.00,1,,45<br />
2014-10-28,37,31,26,22,21,17,74,52,23,1012,1009,1005,19,14,10,26,10,37,0.00,2,,48<br />
2014-10-29,38,32,27,23,21,17,74,52,24,1007,1004,1000,19,14,10,35,16,,0.00,5,,26<br />
2014-10-30,31,26,20,22,20,17,94,70,46,1010,1005,1001,19,13,8,52,19,71,6.10,4,Lluvia-Tormenta,82<br />
2014-10-31,32,26,20,24,22,19,100,81,51,1010,1008,1005,19,11,1,21,6,,26.92,4,Lluvia-Tormenta,83<br />
2014-11-1,29,26,22,24,22,2,100,88,19,1014,1011,1006,19,10,1,47,11,64,48.01,5,Lluvia-Tormenta,84<br />
2014-11-2,26,23,21,23,22,21,100,92,78,1015,1012,1008,19,11,4,16,6,,2.03,7,Lluvia-Tormenta,171<br />
2014-11-3,32,28,23,25,23,2,95,81,20,1010,1007,1004,19,12,10,26,5,,0.00,5,Tormenta,164<br />
2014-11-4,28,23,19,23,18,14,100,86,63,1021,1011,1007,19,10,2,32,23,52,7.87,6,Lluvia-Tormenta,185<br />
2014-11-5,29,23,17,22,17,12,89,66,51,1015,1013,1010,19,14,10,16,10,,0.00,4,,168<br />
2014-11-6,35,26,17,25,23,21,100,74,42,1013,1010,1006,19,13,10,16,5,,0.00,4,,17<br />
2014-11-7,30,26,21,25,22,21,100,94,77,1011,1008,1004,19,9,0,37,8,74,53.09,4,Lluvia-Tormenta,122<br />
2014-11-8,31,25,19,22,21,17,100,77,37,1013,1011,1009,19,10,0,16,6,,0.00,4,Niebla-Tormenta,144<br />
2014-11-9,32,26,19,19,15,12,88,50,21,1013,1011,1009,19,19,19,16,11,,0.00,,,132<br />
2014-11-10,34,27,21,22,17,13,66,50,31,1010,1008,1005,19,15,10,19,10,,0.00,2,,85<br />
2014-11-11,28,24,21,23,21,2,100,88,24,1008,1006,1003,19,9,2,24,11,37,19.05,6,Lluvia-Tormenta,87<br />
2014-11-12,29,24,19,21,20,18,100,79,43,1009,1007,1005,19,11,8,27,6,,0.00,5,Tormenta,201<br />
2014-11-13,27,23,20,19,17,14,88,68,38,1015,1012,1009,19,13,10,27,16,42,0.00,5,,181<br />
2014-11-14,27,22,16,14,13,11,82,57,29,1017,1015,1013,19,16,10,21,13,,0.00,1,,175<br />
2014-11-15,29,21,14,15,12,6,94,53,16,1018,1016,1014,19,14,5,13,6,,0.00,,,155<br />
2014-11-16,31,24,17,15,13,9,77,47,17,1018,1016,1014,19,17,9,13,6,,0.00,,,127<br />
2014-11-17,32,26,19,18,14,12,78,49,21,1015,1013,1010,19,13,6,11,8,,0.00,1,,105<br />
2014-11-18,32,26,19,20,17,14,88,58,23,1012,1008,1005,19,11,6,23,5,,0.00,,,67<br />
2014-11-19,26,23,20,20,18,14,94,73,38,1010,1007,1004,19,12,9,14,8,39,5.08,7,Lluvia-Tormenta,29<br />
2014-11-20,28,23,19,22,21,17,94,78,60,1011,1009,1007,19,13,10,13,8,,0.00,5,,80<br />
2014-11-21,31,26,21,25,22,2,100,82,25,1010,1008,1007,19,10,0,32,10,40,26.92,4,Lluvia-Tormenta,288<br />
2014-11-22,29,24,19,20,17,15,94,69,33,1014,1012,1011,19,13,10,26,11,39,0.00,6,Tormenta,172<br />
2014-11-23,30,23,17,19,16,14,88,60,28,1015,1012,1009,19,19,14,14,6,,0.00,,,115<br />
2014-11-24,32,26,19,24,21,18,88,70,46,1010,1007,1004,19,13,10,19,6,,0.00,3,,45<br />
2014-11-25,28,24,20,24,21,19,100,89,73,1012,1007,1004,19,9,1,45,10,55,48.01,5,Lluvia-Tormenta,188<br />
2014-11-26,31,25,19,23,22,20,100,77,53,1009,1008,1007,19,11,9,23,8,,0.00,5,,189<br />
2014-11-27,32,28,23,23,21,18,89,66,38,1012,1010,1009,19,14,10,19,14,,0.00,2,,179<br />
2014-11-28,34,28,23,22,21,18,83,61,33,1012,1010,1007,19,13,9,11,8,,0.00,2,,126<br />
2014-11-29,33,28,23,25,23,21,89,68,45,1010,1007,1004,19,14,10,29,13,,0.00,2,,46<br />
2014-11-30,34,29,25,26,24,22,89,69,45,1008,1006,1003,19,12,10,29,19,,40.89,4,Lluvia-Tormenta,27<br />
2014-12-1,29,23,18,23,18,17,100,91,76,1012,1010,1006,19,10,4,55,19,,40.89,8,Lluvia-Tormenta,251<br />
2014-12-2,23,21,18,20,19,18,100,89,74,1013,1012,1010,19,9,1,16,8,,0.00,8,Lluvia,248<br />
2014-12-3,28,23,18,20,17,12,100,68,27,1015,1013,1011,19,12,6,23,11,,0.00,4,,177<br />
2014-12-4,30,22,15,17,15,13,90,59,27,1016,1014,1011,19,15,7,16,8,,0.00,,,150<br />
2014-12-5,32,24,17,22,19,16,94,66,38,1013,1011,1008,19,12,8,13,5,,0.00,2,,77<br />
2014-12-6,33,28,24,23,21,20,83,63,44,1012,1009,1006,19,15,10,29,11,42,0.00,2,,55<br />
2014-12-7,35,30,25,24,22,19,78,59,35,1011,1009,1006,19,13,10,23,13,,0.00,1,Tormenta,50<br />
2014-12-8,33,28,23,23,21,19,88,65,38,1013,1009,1006,19,13,10,13,8,,0.00,5,,53<br />
2014-12-9,32,27,22,24,22,21,94,71,43,1009,1006,1002,19,13,10,19,10,26,0.00,4,Lluvia,50<br />
2014-12-10,34,29,24,26,24,22,94,76,54,1009,1006,1004,19,12,9,29,11,,2.03,4,Lluvia-Tormenta,41<br />
2014-12-11,33,28,23,24,22,21,83,69,47,1011,1010,1007,19,13,10,21,11,,0.00,6,,175<br />
2014-12-12,34,29,24,25,23,20,94,75,49,1011,1008,1004,19,11,2,32,8,48,0.00,5,Lluvia-Tormenta,188<br />
2014-12-13,33,29,24,24,23,19,100,72,43,1010,1008,1005,19,12,10,23,6,,0.00,3,Tormenta,170<br />
2014-12-14,33,28,23,22,20,18,78,60,36,1011,1009,1007,19,15,10,14,10,,0.00,6,,146<br />
2014-12-15,34,29,23,24,21,16,70,56,40,1011,1009,1007,19,14,10,13,8,,0.00,5,,92<br />
2014-12-16,34,30,26,25,24,22,79,66,45,1010,1008,1006,19,12,10,23,14,,0.00,6,Tormenta,55<br />
2014-12-17,30,26,22,23,23,22,100,92,53,1013,1009,1006,19,9,0,40,13,60,62.99,6,Lluvia-Tormenta,103<br />
2014-12-18,30,26,21,23,22,21,100,82,49,1012,1010,1007,19,12,9,10,3,,0.00,5,,115<br />
2014-12-19,33,28,23,24,23,22,100,73,44,1009,1006,1002,19,11,8,10,3,,0.00,3,,76<br />
2014-12-20,34,30,26,25,24,22,89,69,40,1004,1001,997,19,13,10,27,11,,0.00,3,,24<br />
2014-12-21,31,26,21,25,23,19,100,84,69,1008,1002,999,19,11,0,27,14,58,16.00,7,Lluvia-Tormenta,40<br />
2014-12-22,26,23,20,20,17,11,94,70,34,1016,1012,1008,19,13,10,42,18,52,0.00,7,,177<br />
2014-12-23,28,23,18,14,13,10,77,52,22,1020,1017,1014,19,18,11,34,23,52,0.00,,,170<br />
2014-12-24,31,24,19,22,18,13,74,65,49,1015,1012,1009,19,13,10,14,10,,0.00,5,,98<br />
2014-12-25,33,28,22,24,22,20,88,71,47,1013,1011,1008,19,13,10,21,10,,0.00,5,,58<br />
2014-12-26,36,31,26,25,24,22,89,67,40,1014,1011,1008,19,13,10,23,13,,0.00,4,,34<br />
2014-12-27,34,30,26,26,24,22,89,71,51,1013,1010,1007,19,13,10,19,11,29,0.00,7,,52<br />
2014-12-28,35,29,24,24,23,21,89,73,41,1010,1008,1007,19,13,8,37,16,47,0.00,5,Lluvia,27<br />
2014-12-29,33,28,23,25,23,21,94,75,51,1009,1007,1005,19,12,10,23,8,,0.00,6,Tormenta,109<br />
2014-12-30,33,28,23,24,22,21,94,80,50,1007,1005,1002,19,11,3,32,14,47,6.10,7,Lluvia-Tormenta,40<br />
2014-12-31,36,29,23,24,23,22,100,73,35,1005,1002,1000,19,13,10,37,8,40,0.00,5,Lluvia-Tormenta,39<br />
